motif,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
267008,1,10,3,2,3,6,4,3,20,22,0,15,1,0,0,0,0,0,1,0
267260,0,16,0,4,1,5,0,0,30,2,0,19,2,3,0,0,0,0,0,0
266848,0,7,5,6,0,2,1,7,16,0,3,7,4,0,0,0,0,0,1,1
267183,0,8,1,13,8,20,4,0,52,1,0,56,3,1,0,0,0,0,0,0
267185,2,0,12,2,1,4,0,10,5,9,0,7,2,1,0,0,1,0,0,0
267029,0,6,7,14,8,1,3,2,42,1,6,79,6,0,1,0,0,0,0,0
267033,1,9,12,54,31,8,3,3,56,3,18,93,5,2,0,0,0,0,1,0
267038,0,5,2,5,5,9,0,1,36,1,0,33,4,3,0,0,0,0,0,0
267194,1,16,14,26,16,26,0,0,85,1,2,48,6,1,0,0,0,0,2,0
267295,2,19,3,4,1,7,3,2,25,7,2,11,2,3,0,0,0,0,0,1
267294,3,3,20,8,3,13,0,0,93,7,1,69,0,0,0,0,0,0,4,2
267299,2,6,3,3,7,13,3,0,32,9,0,12,1,0,0,0,0,0,0,1
267307,0,6,30,15,8,26,1,1,68,1,0,43,2,0,0,0,0,0,4,1
265045,4,11,35,2,4,10,0,0,3,4,1,38,0,4,0,0,0,0,0,0
269350,0,0,4,0,0,3,0,0,21,2,0,11,2,0,1,0,0,0,0,0
267319,4,12,12,6,3,4,4,0,26,9,0,19,1,0,0,0,0,0,1,0
300897,19,24,30,2,7,8,5,5,1,2,0,18,0,11,0,0,0,0,0,0
303135,0,16,12,12,5,11,1,3,16,1,1,5,0,3,0,0,0,0,0,0
303032,1,16,12,17,6,16,1,3,32,3,0,34,0,0,0,0,0,0,2,2
304956,0,4,7,1,3,6,3,0,80,2,1,47,1,0,2,0,0,0,0,0
303035,7,14,22,5,5,11,7,0,6,8,0,13,0,11,0,0,1,0,1,0
302951,2,17,10,13,5,6,0,0,52,3,1,54,2,0,0,0,0,0,0,2
302955,11,57,11,2,29,3,2,2,9,12,0,17,1,9,0,0,1,0,0,2
302957,10,1,7,0,0,3,0,1,12,9,0,19,1,0,0,0,1,0,0,0
303139,0,7,31,8,5,14,2,0,41,4,0,26,1,1,0,0,0,0,2,0
303046,8,13,13,0,3,8,2,0,4,4,1,12,1,3,0,0,0,0,0,0
303048,15,17,15,10,4,21,2,1,57,4,1,32,1,1,0,0,0,0,0,0
303144,3,14,26,34,5,10,3,3,56,5,0,33,0,3,0,0,0,0,0,0
303145,1,26,8,22,20,39,4,0,32,1,8,66,6,4,0,0,0,0,1,0
304973,0,3,2,5,3,4,0,1,30,1,3,37,3,4,0,0,0,0,1,0
302972,1,4,10,10,0,6,0,2,15,2,0,20,0,0,0,0,0,0,0,0
303066,1,5,3,4,4,13,0,0,37,1,0,30,3,4,1,0,0,0,1,2
305197,0,0,5,1,0,8,0,0,6,2,0,19,2,3,1,0,0,0,0,0
303216,1,19,10,34,10,20,2,0,46,0,4,39,6,1,1,0,0,0,0,1
302861,1,3,1,1,1,1,0,0,17,5,0,17,2,1,0,0,0,0,0,0
301225,2,1,8,2,1,6,2,11,3,15,0,0,0,0,0,0,1,0,0,0
303095,0,8,5,11,2,12,3,1,40,3,1,33,1,0,0,0,0,0,1,0
303174,0,4,7,7,11,16,1,0,40,0,0,10,3,1,0,0,0,0,2,0
303100,1,2,6,4,6,8,0,1,65,4,0,52,3,0,1,0,0,0,1,1
