,pop_name,s,params,target_angle,recurrent,binsize
0,e5ET,59.959538594902824,[0.54207793 9.01215071 0.49533183],0,w/o recurrent,10
1,i5Pvalb,56.7699075077966,[ 0.39301264 10.05329987  0.6167495 ],0,w/o recurrent,10
2,i5Sst,54.45800941232651,[ 0.72646569 10.92500099  0.27860045],0,w/o recurrent,10
0,e5ET,53.60683702952264,[ 0.68641195 11.27469088  0.34791671],0,w/ recurrent,10
1,i5Pvalb,56.62162466806042,[ 0.47651559 10.10602474  0.53119626],0,w/ recurrent,10
2,i5Sst,54.57325317576654,[ 0.79566568 10.87890849  0.26112059],0,w/ recurrent,10
0,e5ET,60.79171757349284,[0.51933945 8.76710449 0.47002328],15,w/o recurrent,10
1,i5Pvalb,56.2953620914795,[ 0.39106297 10.22350412  0.60545608],15,w/o recurrent,10
2,i5Sst,57.39075378184687,[0.77840266 9.83696559 0.29228063],15,w/o recurrent,10
0,e5ET,56.729481774637314,[ 0.66123536 10.06763305  0.3234778 ],15,w/ recurrent,10
1,i5Pvalb,57.820386107028966,[0.4536007  9.69132226 0.52043405],15,w/ recurrent,10
2,i5Sst,55.907270101937826,[ 0.85839169 10.36593394  0.26538412],15,w/ recurrent,10
0,e5ET,61.95293425881503,[0.53771403 8.44153157 0.48447506],30,w/o recurrent,10
1,i5Pvalb,56.37569783044008,[ 0.40598869 10.19438776  0.62863046],30,w/o recurrent,10
2,i5Sst,55.90284874933296,[ 0.76892429 10.36757369  0.29006154],30,w/o recurrent,10
0,e5ET,57.094548349152475,[0.68353741 9.93929834 0.32867224],30,w/ recurrent,10
1,i5Pvalb,56.39753491092784,[ 0.4653764  10.18649477  0.5052141 ],30,w/ recurrent,10
2,i5Sst,55.826407583098074,[ 0.77261727 10.39598505  0.23934298],30,w/ recurrent,10
0,e5ET,63.40547094438213,[0.52550209 8.05919279 0.46558541],45,w/o recurrent,10
1,i5Pvalb,56.60929646867476,[ 0.39632573 10.11042694  0.61882642],45,w/o recurrent,10
2,i5Sst,57.37323968409333,[0.77310425 9.84297229 0.30339896],45,w/o recurrent,10
0,e5ET,60.59381958209069,[0.73212726 8.82446432 0.32790523],45,w/ recurrent,10
1,i5Pvalb,53.71701712667621,[ 0.42010397 11.22848681  0.50668903],45,w/ recurrent,10
2,i5Sst,56.45165429758093,[ 0.83848932 10.16697284  0.25364794],45,w/ recurrent,10
0,e5ET,65.60017034442183,[0.55367479 7.52896149 0.47212793],60,w/o recurrent,10
1,i5Pvalb,60.40805248057602,[0.38157868 8.87882183 0.58182526],60,w/o recurrent,10
2,i5Sst,55.34192963564301,[ 0.67795159 10.57880019  0.27218588],60,w/o recurrent,10
0,e5ET,61.257726195426564,[0.75634153 8.63422309 0.31272554],60,w/ recurrent,10
