,pop_name,peak_freq,FWHM,recurrent,target_angle
0,e5ET,18.0,17.121875317858482,w/o recurrent,0
1,i5Pvalb,20.0,35.0435807901696,w/o recurrent,0
2,i5Sst,18.0,25.617117347761994,w/o recurrent,0
0,e5ET,20.0,15.5201191175173,w/ recurrent,0
1,i5Pvalb,42.0,52.63882986090865,w/ recurrent,0
2,i5Sst,16.0,19.581419515138222,w/ recurrent,0
0,e5ET,18.0,15.050153080899523,w/o recurrent,15
1,i5Pvalb,20.0,34.56393982459309,w/o recurrent,15
2,i5Sst,16.0,26.551508177215872,w/o recurrent,15
0,e5ET,20.0,22.113023840960395,w/ recurrent,15
1,i5Pvalb,36.0,68.13090522025804,w/ recurrent,15
2,i5Sst,16.0,26.456833111573403,w/ recurrent,15
0,e5ET,16.0,12.168620935825906,w/o recurrent,30
1,i5Pvalb,20.0,38.84776750416653,w/o recurrent,30
2,i5Sst,16.0,27.266730648859472,w/o recurrent,30
0,e5ET,16.0,19.191949752367734,w/ recurrent,30
1,i5Pvalb,38.0,40.09637936323006,w/ recurrent,30
2,i5Sst,16.0,15.53159387208024,w/ recurrent,30
0,e5ET,16.0,15.85539455727249,w/o recurrent,45
1,i5Pvalb,20.0,29.47493457018319,w/o recurrent,45
2,i5Sst,16.0,28.78598417288615,w/o recurrent,45
0,e5ET,16.0,19.72806261427278,w/ recurrent,45
1,i5Pvalb,44.0,66.2602976671731,w/ recurrent,45
2,i5Sst,16.0,16.413835980769072,w/ recurrent,45
0,e5ET,16.0,9.567407673387494,w/o recurrent,60
1,i5Pvalb,20.0,44.72295051374901,w/o recurrent,60
2,i5Sst,18.0,20.528259943518233,w/o recurrent,60
0,e5ET,16.0,18.91958647717945,w/ recurrent,60
1,i5Pvalb,50.0,40.79784108432713,w/ recurrent,60
2,i5Sst,16.0,13.72461348654841,w/ recurrent,60
0,e5ET,18.0,14.167262800788215,w/o recurrent,75
1,i5Pvalb,20.0,39.84423794548213,w/o recurrent,75
2,i5Sst,18.0,21.757224901390543,w/o recurrent,75
0,e5ET,18.0,11.956139566624643,w/ recurrent,75
1,i5Pvalb,50.0,42.95065995127038,w/ recurrent,75
2,i5Sst,16.0,16.55598647256079,w/ recurrent,75
0,e5ET,16.0,14.266563380463552,w/o recurrent,90
1,i5Pvalb,20.0,33.61005908058612,w/o recurrent,90
2,i5Sst,18.0,21.41104891802554,w/o recurrent,90
0,e5ET,18.0,17.484367609241897,w/ recurrent,90
1,i5Pvalb,40.0,52.42543619066045,w/ recurrent,90
2,i5Sst,18.0,19.035662065099686,w/ recurrent,90
0,e5ET,16.0,16.11429547858362,w/o recurrent,105
1,i5Pvalb,20.0,35.184222476345674,w/o recurrent,105
2,i5Sst,18.0,25.972473620188865,w/o recurrent,105
0,e5ET,18.0,18.153593178967586,w/ recurrent,105
1,i5Pvalb,38.0,43.58922545372918,w/ recurrent,105
2,i5Sst,18.0,19.350091714518328,w/ recurrent,105
0,e5ET,16.0,13.918972244442472,w/o recurrent,120
1,i5Pvalb,20.0,29.404894307559545,w/o recurrent,120
2,i5Sst,18.0,20.855391374577387,w/o recurrent,120
0,e5ET,16.0,15.75992675920256,w/ recurrent,120
1,i5Pvalb,32.0,67.13530507857462,w/ recurrent,120
2,i5Sst,18.0,16.319240569967228,w/ recurrent,120
0,e5ET,16.0,16.67003902164062,w/o recurrent,135
1,i5Pvalb,20.0,28.332143795206797,w/o recurrent,135
2,i5Sst,16.0,29.90259530414084,w/o recurrent,135
0,e5ET,16.0,16.644537209581056,w/ recurrent,135
1,i5Pvalb,50.0,41.11199004480615,w/ recurrent,135
2,i5Sst,16.0,24.68675413905082,w/ recurrent,135
0,e5ET,16.0,13.155517821433929,w/o recurrent,150
1,i5Pvalb,20.0,32.35264720649974,w/o recurrent,150
2,i5Sst,18.0,20.285706267196367,w/o recurrent,150
0,e5ET,16.0,14.724800309021333,w/ recurrent,150
1,i5Pvalb,50.0,39.56154652675036,w/ recurrent,150
2,i5Sst,16.0,22.28181256221346,w/ recurrent,150
0,e5ET,16.0,15.687702095079485,w/o recurrent,165
1,i5Pvalb,20.0,37.62076227978996,w/o recurrent,165
2,i5Sst,8.0,27.29201031641799,w/o recurrent,165
0,e5ET,18.0,14.59402962018393,w/ recurrent,165
1,i5Pvalb,50.0,41.1711326201903,w/ recurrent,165
2,i5Sst,16.0,30.2314483212709,w/ recurrent,165
0,e5ET,16.0,16.437776501320634,w/o recurrent,180
1,i5Pvalb,20.0,37.08045199280292,w/o recurrent,180
2,i5Sst,8.0,31.29633575713556,w/o recurrent,180
0,e5ET,18.0,16.163569064878118,w/ recurrent,180
1,i5Pvalb,32.0,40.56494527974227,w/ recurrent,180
2,i5Sst,18.0,28.99054699019041,w/ recurrent,180
0,e5ET,18.0,11.963076470493537,w/o recurrent,195
1,i5Pvalb,20.0,37.80889803971175,w/o recurrent,195
