,pop_name,s,params,target_angle,recurrent,binsize
0,e5ET,60.076482813909216,[0.54124507 8.97709895 0.49700003],0,w/o recurrent,10
1,i5Pvalb,57.64690351948251,[0.34823829 9.74974016 0.67161385],0,w/o recurrent,10
2,i5Sst,54.33852491942404,[ 0.72045722 10.97309958  0.28550277],0,w/o recurrent,10
0,e5ET,54.977750954489075,[ 0.6701239  10.71941466  0.37096739],0,w/ recurrent,10
1,i5Pvalb,60.25933467646459,[0.38952915 8.92270111 0.58224634],0,w/ recurrent,10
2,i5Sst,55.121518640723004,[ 0.77287261 10.66357092  0.21979554],0,w/ recurrent,10
0,e5ET,60.83024449915444,[0.51780402 8.75600269 0.47160744],15,w/o recurrent,10
1,i5Pvalb,56.10856736476321,[ 0.33690089 10.29168892  0.65587201],15,w/o recurrent,10
2,i5Sst,56.98065727153885,[0.76887235 9.97907074 0.30226762],15,w/o recurrent,10
0,e5ET,56.238435676789074,[ 0.64352528 10.24421174  0.34892682],15,w/ recurrent,10
1,i5Pvalb,57.604932951757455,[0.39101828 9.76395253 0.61359343],15,w/ recurrent,10
2,i5Sst,56.64518415718707,[ 0.83580046 10.09762002  0.24349079],15,w/ recurrent,10
0,e5ET,61.94874449702349,[0.53610366 8.44267346 0.48586908],30,w/o recurrent,10
1,i5Pvalb,57.408872192209216,[0.35549456 9.83075742 0.67115942],30,w/o recurrent,10
2,i5Sst,55.78561804891001,[ 0.75263477 10.41119336  0.2955711 ],30,w/o recurrent,10
0,e5ET,56.5888070612584,[ 0.61373004 10.11774973  0.32429058],30,w/ recurrent,10
1,i5Pvalb,68.79857512040635,[0.46162253 6.8451997  0.57375398],30,w/ recurrent,10
2,i5Sst,55.885926380577054,[ 0.79067187 10.37385329  0.23285085],30,w/ recurrent,10
0,e5ET,63.461328844995975,[0.52402189 8.04501182 0.46659012],45,w/o recurrent,10
1,i5Pvalb,56.515539616623485,[ 0.34416122 10.14400029  0.664505  ],45,w/o recurrent,10
2,i5Sst,57.23974545852409,[0.76563456 9.88893728 0.31149245],45,w/o recurrent,10
0,e5ET,58.64534228345696,[0.69052887 9.42058689 0.36109883],45,w/ recurrent,10
1,i5Pvalb,57.99948465803837,[0.41775106 9.63156236 0.64065362],45,w/ recurrent,10
2,i5Sst,57.21170345162654,[0.84888966 9.89863368 0.25923705],45,w/ recurrent,10
0,e5ET,65.55739228318629,[0.55235298 7.53879042 0.47404996],60,w/o recurrent,10
1,i5Pvalb,58.684467968966686,[0.33926149 9.40802942 0.64020828],60,w/o recurrent,10
2,i5Sst,55.42122454315798,[ 0.6693053  10.54855024  0.27870978],60,w/o recurrent,10
0,e5ET,59.75266310414796,[0.70751361 9.07466242 0.34142188],60,w/ recurrent,10
1,i5Pvalb,55.1128147842597,[ 0.38882241 10.66693934  0.58269738],60,w/ recurrent,10
2,i5Sst,53.80576882702028,[ 0.69928186 11.19147496  0.2382532 ],60,w/ recurrent,10
0,e5ET,64.5922112959645,[0.54661927 7.76577323 0.47874879],75,w/o recurrent,10
1,i5Pvalb,61.90250921612432,[0.3489697  8.45528991 0.65211357],75,w/o recurrent,10
