,pop_name,peak_freq,FWHM,recurrent,target_angle
0,e5ET,16.0,16.97503953535427,w/o recurrent,0
1,i5Pvalb,20.0,36.58069023305222,w/o recurrent,0
2,i5Sst,18.0,33.11747221449416,w/o recurrent,0
0,e5ET,10.0,18.972190791222637,w/ recurrent,0
1,i5Pvalb,50.0,61.073053158832224,w/ recurrent,0
2,i5Sst,16.0,20.68803503458851,w/ recurrent,0
0,e5ET,16.0,15.086018095471093,w/o recurrent,15
1,i5Pvalb,28.0,36.12598301205131,w/o recurrent,15
2,i5Sst,16.0,34.879323239411264,w/o recurrent,15
0,e5ET,10.0,18.94651479953124,w/ recurrent,15
1,i5Pvalb,38.0,59.084048178050736,w/ recurrent,15
2,i5Sst,16.0,22.67098685024861,w/ recurrent,15
0,e5ET,16.0,11.426856962555197,w/o recurrent,30
1,i5Pvalb,24.0,36.25956586452915,w/o recurrent,30
2,i5Sst,16.0,26.53777632684105,w/o recurrent,30
0,e5ET,14.0,16.697347739249928,w/ recurrent,30
1,i5Pvalb,52.0,50.95790835999873,w/ recurrent,30
2,i5Sst,16.0,20.686426016742846,w/ recurrent,30
0,e5ET,16.0,11.099385692454376,w/o recurrent,45
1,i5Pvalb,28.0,37.301803797991994,w/o recurrent,45
2,i5Sst,18.0,27.634818845511266,w/o recurrent,45
0,e5ET,14.0,17.241838437873334,w/ recurrent,45
1,i5Pvalb,50.0,28.04676169637622,w/ recurrent,45
2,i5Sst,16.0,14.58664852391111,w/ recurrent,45
0,e5ET,18.0,13.741081906595392,w/o recurrent,60
1,i5Pvalb,38.0,40.53039685870348,w/o recurrent,60
2,i5Sst,18.0,35.076183378900396,w/o recurrent,60
0,e5ET,14.0,17.511695457287914,w/ recurrent,60
1,i5Pvalb,50.0,21.23586141878787,w/ recurrent,60
2,i5Sst,16.0,19.333561241234243,w/ recurrent,60
0,e5ET,16.0,14.57483789951643,w/o recurrent,75
1,i5Pvalb,24.0,39.718205783636876,w/o recurrent,75
2,i5Sst,18.0,22.20985038637538,w/o recurrent,75
0,e5ET,18.0,13.19159736931573,w/ recurrent,75
1,i5Pvalb,76.0,28.855718386074557,w/ recurrent,75
2,i5Sst,18.0,19.68441946667352,w/ recurrent,75
0,e5ET,16.0,14.368070867190365,w/o recurrent,90
1,i5Pvalb,24.0,38.86528765637316,w/o recurrent,90
2,i5Sst,18.0,22.054895522112822,w/o recurrent,90
0,e5ET,14.0,11.520972122639064,w/ recurrent,90
1,i5Pvalb,50.0,29.635738079655507,w/ recurrent,90
2,i5Sst,14.0,20.36723793883606,w/ recurrent,90
0,e5ET,16.0,15.228768709259864,w/o recurrent,105
1,i5Pvalb,24.0,39.00927793621856,w/o recurrent,105
2,i5Sst,18.0,25.275930207724585,w/o recurrent,105
0,e5ET,14.0,10.360417515397751,w/ recurrent,105
1,i5Pvalb,38.0,29.704146663708496,w/ recurrent,105
2,i5Sst,18.0,17.77744483435525,w/ recurrent,105
0,e5ET,16.0,15.445627925405796,w/o recurrent,120
1,i5Pvalb,28.0,40.021357727153514,w/o recurrent,120
2,i5Sst,18.0,21.14982896772496,w/o recurrent,120
0,e5ET,14.0,9.414692745047692,w/ recurrent,120
1,i5Pvalb,40.0,25.229622205177293,w/ recurrent,120
2,i5Sst,16.0,18.73965152272551,w/ recurrent,120
0,e5ET,16.0,16.208059229636568,w/o recurrent,135
1,i5Pvalb,24.0,37.75575124039956,w/o recurrent,135
2,i5Sst,18.0,30.36522746006461,w/o recurrent,135
0,e5ET,14.0,10.439177882852777,w/ recurrent,135
1,i5Pvalb,72.0,35.66998576196205,w/ recurrent,135
2,i5Sst,18.0,16.681923688573498,w/ recurrent,135
0,e5ET,16.0,9.827815670864366,w/o recurrent,150
1,i5Pvalb,28.0,34.16573881069978,w/o recurrent,150
2,i5Sst,18.0,21.394875926940692,w/o recurrent,150
0,e5ET,14.0,15.336288427383135,w/ recurrent,150
1,i5Pvalb,50.0,39.48841022246296,w/ recurrent,150
2,i5Sst,18.0,20.950579782708147,w/ recurrent,150
0,e5ET,16.0,13.79059093248137,w/o recurrent,165
1,i5Pvalb,28.0,47.822553218481346,w/o recurrent,165
2,i5Sst,8.0,31.81396964098102,w/o recurrent,165
0,e5ET,16.0,14.932482155910314,w/ recurrent,165
1,i5Pvalb,50.0,41.806358486950636,w/ recurrent,165
2,i5Sst,18.0,22.637194322677583,w/ recurrent,165
0,e5ET,16.0,16.634271339003547,w/o recurrent,180
1,i5Pvalb,20.0,37.542390339606854,w/o recurrent,180
2,i5Sst,8.0,31.768755062561617,w/o recurrent,180
0,e5ET,14.0,9.118387497063912,w/ recurrent,180
1,i5Pvalb,50.0,73.8385761314243,w/ recurrent,180
2,i5Sst,16.0,22.197278627713157,w/ recurrent,180
0,e5ET,18.0,15.182438445439521,w/o recurrent,195
1,i5Pvalb,20.0,37.03625208350376,w/o recurrent,195
2,i5Sst,18.0,35.151389328077016,w/o recurrent,195
0,e5ET,14.0,15.32523300212614,w/ recurrent,195
1,i5Pvalb,90.0,28.402940073541757,w/ recurrent,195
2,i5Sst,16.0,20.08823521989766,w/ recurrent,195
0,e5ET,18.0,9.235348814890077,w/o recurrent,210
1,i5Pvalb,28.0,32.82004541224689,w/o recurrent,210
2,i5Sst,18.0,30.96871668727673,w/o recurrent,210
0,e5ET,14.0,10.99083370554228,w/ recurrent,210
1,i5Pvalb,76.0,72.9965633425015,w/ recurrent,210
2,i5Sst,16.0,18.341468495788853,w/ recurrent,210
0,e5ET,16.0,9.205982144638003,w/o recurrent,225
1,i5Pvalb,28.0,33.67366867957626,w/o recurrent,225
2,i5Sst,18.0,27.53532434925908,w/o recurrent,225
0,e5ET,14.0,12.409296236305503,w/ recurrent,225
1,i5Pvalb,52.0,84.52408044855183,w/ recurrent,225
2,i5Sst,16.0,15.138855050661931,w/ recurrent,225
0,e5ET,16.0,13.127060715365678,w/o recurrent,240
1,i5Pvalb,28.0,34.472137215225175,w/o recurrent,240
2,i5Sst,16.0,22.10231583328511,w/o recurrent,240
0,e5ET,14.0,10.741426484846032,w/ recurrent,240
1,i5Pvalb,50.0,43.32882269680616,w/ recurrent,240
2,i5Sst,16.0,18.357651719626,w/ recurrent,240
0,e5ET,16.0,15.958084653970099,w/o recurrent,255
1,i5Pvalb,30.0,37.535646214615994,w/o recurrent,255
2,i5Sst,16.0,21.276509195706094,w/o recurrent,255
0,e5ET,10.0,14.371071676081627,w/ recurrent,255
1,i5Pvalb,50.0,41.26608196920687,w/ recurrent,255
2,i5Sst,16.0,19.983688656233944,w/ recurrent,255
0,e5ET,16.0,15.726963298339458,w/o recurrent,270
1,i5Pvalb,28.0,37.46252470153729,w/o recurrent,270
2,i5Sst,16.0,25.525832245503608,w/o recurrent,270
0,e5ET,16.0,15.596491918428397,w/ recurrent,270
1,i5Pvalb,50.0,29.091663054078047,w/ recurrent,270
2,i5Sst,16.0,20.090139075191804,w/ recurrent,270
0,e5ET,18.0,12.91092182521908,w/o recurrent,285
1,i5Pvalb,28.0,35.78173833377488,w/o recurrent,285
2,i5Sst,18.0,26.60090689208853,w/o recurrent,285
0,e5ET,12.0,11.803019811061192,w/ recurrent,285
1,i5Pvalb,50.0,31.304682779447337,w/ recurrent,285
2,i5Sst,16.0,19.414955810935833,w/ recurrent,285
0,e5ET,18.0,12.59581495110106,w/o recurrent,300
1,i5Pvalb,28.0,35.431218959597636,w/o recurrent,300
2,i5Sst,16.0,21.19121392995814,w/o recurrent,300
0,e5ET,12.0,14.079821791759493,w/ recurrent,300
1,i5Pvalb,52.0,41.60358384777647,w/ recurrent,300
2,i5Sst,18.0,21.879651136738627,w/ recurrent,300
0,e5ET,18.0,15.908802672748903,w/o recurrent,315
1,i5Pvalb,20.0,43.37320811725995,w/o recurrent,315
2,i5Sst,18.0,28.100766769026958,w/o recurrent,315
0,e5ET,16.0,17.10951347728043,w/ recurrent,315
1,i5Pvalb,50.0,41.62651843264004,w/ recurrent,315
2,i5Sst,16.0,23.67423856624234,w/ recurrent,315
0,e5ET,16.0,9.67290130942713,w/o recurrent,330
1,i5Pvalb,20.0,34.93825945506492,w/o recurrent,330
2,i5Sst,16.0,28.11097839657151,w/o recurrent,330
0,e5ET,14.0,17.175784807362355,w/ recurrent,330
1,i5Pvalb,50.0,54.359633039546594,w/ recurrent,330
2,i5Sst,16.0,19.709349962999422,w/ recurrent,330
0,e5ET,16.0,9.371498666040011,w/o recurrent,345
1,i5Pvalb,32.0,35.864999049382625,w/o recurrent,345
2,i5Sst,18.0,25.03490266718551,w/o recurrent,345
0,e5ET,16.0,18.009217071142217,w/ recurrent,345
1,i5Pvalb,50.0,78.8063418941727,w/ recurrent,345
2,i5Sst,16.0,20.505716065300327,w/ recurrent,345
