,"exc","e23","e4","e5et","e5it","e5np","e6","pv","sst","vip","inh"
"exc",0.00297942609444,0.004387938590551,0.002428121018264,0.002617188400953,0.00598649331542,0.002903220573417,0.002903220573417,0.002234185848565,0.002950205902341,0.002738353302078,0.00255519937334
"e23",0.004273617703622,0.004387938590551,0.002428121018264,0.002617188400953,0.00598649331542,0.002903220573417,0.002903220573417,0.002052687609337,0.003324504850482,0.002738353302078,0.002646776337709
"e4",0.002735575485214,0.004387938590551,0.002445648708155,0.002827443936434,0.00598649331542,0.002903220573417,0.002903220573417,0.002203105783982,0.002950205902341,0.002738353302078,0.004920761884865
"e5et",0.002642374835441,0.004387938590551,0.002428121018264,0.002167371136882,0.00598649331542,0.002903220573417,0.002903220573417,0.002234185848565,0.002950205902341,0.002738353302078,0.003078579391628
"e5it",0.004339727210927,0.004387938590551,0.002428121018264,0.002617188400953,0.005762523463331,0.002903220573417,0.002903220573417,0.005035707143345,0.002692085546044,0.002738353302078,0.00281987253797
"e5np",0.002903220573417,0.004387938590551,0.002428121018264,0.002617188400953,0.00598649331542,0.002903220573417,0.002903220573417,0.00155618158817,0.002950205902341,0.002738353302078,0.002214934649889
"e6",0.002903220573417,0.004387938590551,0.002428121018264,0.002617188400953,0.00598649331542,0.002903220573417,0.002903220573417,0.00155618158817,0.002950205902341,0.002738353302078,0.002214934649889
"pv",0.006161352063175,0.006161352063175,0.004542617800561,0.006161352063175,0.006153356448942,0.006161352063175,0.006161352063175,0.003547021349313,0.002461139328341,0.003547021349313,0.003547021349313
"sst",0.004411052989277,0.003730986343003,0.004411052989277,0.004411052989277,0.004411052989277,0.004411052989277,0.004411052989277,0.003399399775689,0.003560444107698,0.003982288655988,0.003529838707379
"inh",0.005573707037384,0.005135783334717,0.005849322584522,0.007238139091983,0.006335480462174,0.005573707037384,0.005573707037384,0.003932194997191,0.003395965862957,0.003830618201931,0.003551766687121
"vip",0.005573707037384,0.005135783334717,0.005849322584522,0.007238139091983,0.006335480462174,0.005573707037384,0.005573707037384,0.003932194997191,0.003395965862957,0.003169289132273,0.003169289132273
