,pop_name,peak_freq,FWHM,recurrent,target_angle
0,e5ET,18.0,14.158221293594714,w/o recurrent,0
1,i5Pvalb,20.0,28.148484072117668,w/o recurrent,0
2,i5Sst,16.0,25.655204133544938,w/o recurrent,0
0,e5ET,36.0,30.525733083506104,w/ recurrent,0
1,i5Pvalb,36.0,37.46962341808607,w/ recurrent,0
2,i5Sst,20.0,17.71163601287566,w/ recurrent,0
0,e5ET,18.0,12.47969370985768,w/o recurrent,15
1,i5Pvalb,20.0,27.635317410741735,w/o recurrent,15
2,i5Sst,18.0,24.326542850642074,w/o recurrent,15
0,e5ET,36.0,32.790677650333365,w/ recurrent,15
1,i5Pvalb,40.0,37.420994916325895,w/ recurrent,15
2,i5Sst,24.0,37.71098074849803,w/ recurrent,15
0,e5ET,16.0,9.188224610459866,w/o recurrent,30
1,i5Pvalb,20.0,27.585111835066773,w/o recurrent,30
2,i5Sst,16.0,32.58819827412217,w/o recurrent,30
0,e5ET,36.0,33.826776807412585,w/ recurrent,30
1,i5Pvalb,40.0,48.889178188963854,w/ recurrent,30
2,i5Sst,18.0,21.193984023996187,w/ recurrent,30
0,e5ET,16.0,13.411070414223804,w/o recurrent,45
1,i5Pvalb,20.0,33.63802037945932,w/o recurrent,45
2,i5Sst,16.0,25.759841227323886,w/o recurrent,45
0,e5ET,36.0,32.25870780588171,w/ recurrent,45
1,i5Pvalb,36.0,28.16752731315136,w/ recurrent,45
2,i5Sst,18.0,20.69930739373271,w/ recurrent,45
0,e5ET,16.0,14.405156981068965,w/o recurrent,60
1,i5Pvalb,24.0,34.155403748191695,w/o recurrent,60
2,i5Sst,18.0,26.475814594811958,w/o recurrent,60
0,e5ET,36.0,31.132334254023505,w/ recurrent,60
1,i5Pvalb,40.0,37.138635156151395,w/ recurrent,60
2,i5Sst,24.0,19.363926892795252,w/ recurrent,60
0,e5ET,18.0,9.292564818462907,w/o recurrent,75
1,i5Pvalb,20.0,32.32909866348988,w/o recurrent,75
2,i5Sst,18.0,23.782843575435283,w/o recurrent,75
0,e5ET,36.0,34.28186501491929,w/ recurrent,75
1,i5Pvalb,36.0,27.81376868994567,w/ recurrent,75
2,i5Sst,24.0,35.080688991514094,w/ recurrent,75
0,e5ET,16.0,13.526619086267509,w/o recurrent,90
1,i5Pvalb,20.0,27.33090866925391,w/o recurrent,90
2,i5Sst,18.0,26.085885463310653,w/o recurrent,90
0,e5ET,24.0,30.656746374876295,w/ recurrent,90
1,i5Pvalb,40.0,17.89878416053768,w/ recurrent,90
2,i5Sst,24.0,15.991529429661588,w/ recurrent,90
0,e5ET,18.0,13.33002082476392,w/o recurrent,105
1,i5Pvalb,20.0,26.01414743399173,w/o recurrent,105
2,i5Sst,18.0,27.303357787799115,w/o recurrent,105
0,e5ET,36.0,32.55968492050816,w/ recurrent,105
1,i5Pvalb,32.0,37.33793528240139,w/ recurrent,105
2,i5Sst,18.0,18.900972829519098,w/ recurrent,105
0,e5ET,16.0,10.012351017234373,w/o recurrent,120
1,i5Pvalb,20.0,33.298463351350556,w/o recurrent,120
2,i5Sst,16.0,27.413873564316635,w/o recurrent,120
0,e5ET,24.0,33.93919111185474,w/ recurrent,120
1,i5Pvalb,32.0,25.66625249374452,w/ recurrent,120
2,i5Sst,18.0,20.95319210289802,w/ recurrent,120
0,e5ET,16.0,14.639138920259244,w/o recurrent,135
1,i5Pvalb,24.0,31.667977514101977,w/o recurrent,135
2,i5Sst,16.0,22.878273004333884,w/o recurrent,135
0,e5ET,42.0,26.543773905222583,w/ recurrent,135
1,i5Pvalb,32.0,31.951534987089538,w/ recurrent,135
2,i5Sst,16.0,36.05183209762228,w/ recurrent,135
0,e5ET,16.0,16.174204001647382,w/o recurrent,150
1,i5Pvalb,24.0,33.36066623901754,w/o recurrent,150
2,i5Sst,16.0,30.294556871059232,w/o recurrent,150
0,e5ET,42.0,16.213381515751166,w/ recurrent,150
1,i5Pvalb,32.0,34.06893845422002,w/ recurrent,150
2,i5Sst,16.0,18.32801996718254,w/ recurrent,150
0,e5ET,16.0,17.251313668342313,w/o recurrent,165
1,i5Pvalb,24.0,35.87180396067198,w/o recurrent,165
2,i5Sst,18.0,26.223095008545464,w/o recurrent,165
0,e5ET,36.0,16.32425583515657,w/ recurrent,165
1,i5Pvalb,32.0,31.71739952687857,w/ recurrent,165
2,i5Sst,16.0,39.5546382146473,w/ recurrent,165
0,e5ET,18.0,14.077832630027839,w/o recurrent,180
1,i5Pvalb,24.0,36.61694186996609,w/o recurrent,180
2,i5Sst,8.0,26.01703711421611,w/o recurrent,180
0,e5ET,36.0,16.59667615581404,w/ recurrent,180
1,i5Pvalb,40.0,27.940862932577154,w/ recurrent,180
2,i5Sst,24.0,29.46353433797465,w/ recurrent,180
0,e5ET,18.0,8.885873322261018,w/o recurrent,195
1,i5Pvalb,24.0,37.969517312354974,w/o recurrent,195
2,i5Sst,18.0,37.92938436821983,w/o recurrent,195
0,e5ET,36.0,15.521796376053512,w/ recurrent,195
1,i5Pvalb,40.0,36.93154400005807,w/ recurrent,195
2,i5Sst,18.0,25.07804803828415,w/ recurrent,195
0,e5ET,16.0,12.677901058410583,w/o recurrent,210
1,i5Pvalb,24.0,38.70049799113324,w/o recurrent,210
2,i5Sst,18.0,26.774191005920674,w/o recurrent,210
0,e5ET,36.0,17.49137718299034,w/ recurrent,210
1,i5Pvalb,40.0,27.574969016913528,w/ recurrent,210
2,i5Sst,16.0,27.338632868682545,w/ recurrent,210
0,e5ET,16.0,12.322832897120183,w/o recurrent,225
1,i5Pvalb,20.0,43.5426231888483,w/o recurrent,225
2,i5Sst,16.0,26.596632927944228,w/o recurrent,225
0,e5ET,36.0,14.631035646432661,w/ recurrent,225
1,i5Pvalb,40.0,28.655854118016787,w/ recurrent,225
2,i5Sst,16.0,43.17881331052873,w/ recurrent,225
0,e5ET,18.0,9.780701504421504,w/o recurrent,240
1,i5Pvalb,24.0,37.50752719768243,w/o recurrent,240
2,i5Sst,16.0,25.255486479631607,w/o recurrent,240
0,e5ET,36.0,16.22983613944116,w/ recurrent,240
1,i5Pvalb,36.0,28.605356352354335,w/ recurrent,240
2,i5Sst,24.0,37.8477153549484,w/ recurrent,240
0,e5ET,16.0,9.322670746908518,w/o recurrent,255
1,i5Pvalb,24.0,38.59001220409451,w/o recurrent,255
2,i5Sst,16.0,21.329190900855703,w/o recurrent,255
0,e5ET,36.0,26.869298594859007,w/ recurrent,255
1,i5Pvalb,40.0,36.00676604150124,w/ recurrent,255
2,i5Sst,18.0,17.798518541396184,w/ recurrent,255
0,e5ET,18.0,13.016917064576141,w/o recurrent,270
