,pop_name,s,params,target_angle,recurrent,binsize
0,e5ET,59.161174205623915,[0.49240108 9.25702507 0.54368647],0,w/o recurrent,10
1,i5Pvalb,55.543626689069555,[ 0.45098764 10.50210953  0.559206  ],0,w/o recurrent,10
2,i5Sst,53.93982207555314,[ 0.77598704 11.13591715  0.2147868 ],0,w/o recurrent,10
0,e5ET,49.54836324735928,[ 0.63792197 13.19733936  0.34648318],0,w/ recurrent,10
1,i5Pvalb,57.44489560176873,[0.42900444 9.81843165 0.45434942],0,w/ recurrent,10
2,i5Sst,52.430904524017514,[ 0.76709018 11.78610511  0.21666616],0,w/ recurrent,10
0,e5ET,60.568766815197996,[0.47456331 8.83176587 0.51911396],15,w/o recurrent,10
1,i5Pvalb,54.85735286818364,[ 0.45386839 10.76651913  0.55211642],15,w/o recurrent,10
2,i5Sst,56.994650419627334,[0.83566176 9.97417128 0.21905592],15,w/o recurrent,10
0,e5ET,52.79077245428487,[ 0.6767701  11.62596407  0.35237935],15,w/ recurrent,10
1,i5Pvalb,46.32596818140753,[ 0.43565001 15.09718584  0.47448436],15,w/ recurrent,10
2,i5Sst,54.32849619270619,[ 0.78342442 10.9771511   0.21170986],15,w/ recurrent,10
0,e5ET,61.65344986693287,[0.48554091 8.52374099 0.53608836],30,w/o recurrent,10
1,i5Pvalb,56.49364896959378,[ 0.46848514 10.15186318  0.5777488 ],30,w/o recurrent,10
2,i5Sst,56.17284437001231,[ 0.87192264 10.26814941  0.23261509],30,w/o recurrent,10
0,e5ET,54.81459851583509,[ 0.61658941 10.78332104  0.32263196],30,w/ recurrent,10
1,i5Pvalb,44.233232103081185,[ 0.51499872 16.55951686  0.52129845],30,w/ recurrent,10
2,i5Sst,55.16408105047824,[ 0.85235019 10.6471221   0.23226915],30,w/ recurrent,10
0,e5ET,63.003434976124076,[0.47724437 8.1623752  0.5131438 ],45,w/o recurrent,10
1,i5Pvalb,56.06790273554958,[ 0.45233295 10.30662293  0.56673292],45,w/o recurrent,10
2,i5Sst,57.19281894240149,[0.83789835 9.90517162 0.23051623],45,w/o recurrent,10
0,e5ET,57.1703011133697,[0.76102102 9.91297591 0.3943189 ],45,w/ recurrent,10
1,i5Pvalb,46.808369782213894,[ 0.47157395 14.78760966  0.47693563],45,w/ recurrent,10
2,i5Sst,55.01865670502824,[ 0.88837778 10.70348105  0.26158538],45,w/ recurrent,10
0,e5ET,65.88903564827976,[0.50356508 7.46309049 0.52195129],60,w/o recurrent,10
1,i5Pvalb,59.690371587985645,[0.42399178 9.09361253 0.5233196 ],60,w/o recurrent,10
2,i5Sst,54.75094622250428,[ 0.75256288 10.80840854  0.21619114],60,w/o recurrent,10
0,e5ET,56.091559291182065,[ 0.6992201  10.29793115  0.34722285],60,w/ recurrent,10
1,i5Pvalb,51.53242811615485,[ 0.48933329 12.2006733   0.44832213],60,w/ recurrent,10
2,i5Sst,57.02274481197701,[0.75608556 9.9643454  0.20632484],60,w/ recurrent,10
0,e5ET,65.15602655409236,[0.49995582 7.63195546 0.52291391],75,w/o recurrent,10
1,i5Pvalb,62.0507250984021,[0.45593213 8.41494513 0.55660457],75,w/o recurrent,10
2,i5Sst,53.841379296856786,[ 0.79126591 11.17667587  0.25175248],75,w/o recurrent,10
0,e5ET,56.38257769045532,[ 0.64574177 10.19190006  0.30841076],75,w/ recurrent,10
1,i5Pvalb,58.01033122465338,[0.52132609 9.62796094 0.47577379],75,w/ recurrent,10
2,i5Sst,57.783520749930005,[0.82180287 9.70369216 0.24535605],75,w/ recurrent,10
0,e5ET,63.51107925709024,[0.46948365 8.03241289 0.496991  ],90,w/o recurrent,10
1,i5Pvalb,63.39645100248768,[0.45954034 8.06148625 0.56099278],90,w/o recurrent,10
2,i5Sst,54.143337371531885,[ 0.89243896 11.05235857  0.27807599],90,w/o recurrent,10
0,e5ET,53.99855029557881,[ 0.67986061 11.11170772  0.30873309],90,w/ recurrent,10
1,i5Pvalb,61.88285154704342,[0.67537459 8.46066257 0.54097508],90,w/ recurrent,10
2,i5Sst,58.670773698990445,[0.91695728 9.41242177 0.26470727],90,w/ recurrent,10
0,e5ET,62.463124835559114,[0.48194047 8.3041961  0.51077481],105,w/o recurrent,10
1,i5Pvalb,63.577421546460016,[0.47552173 8.01565818 0.58717263],105,w/o recurrent,10
2,i5Sst,58.150233929366244,[0.71351387 9.58168916 0.21706467],105,w/o recurrent,10
0,e5ET,52.141645305878065,[ 0.66281728 11.91723623  0.30678646],105,w/ recurrent,10
1,i5Pvalb,60.76006176297986,[0.66744042 8.77624214 0.57609963],105,w/ recurrent,10
2,i5Sst,63.68471644861885,[0.7107718  7.98867165 0.1935321 ],105,w/ recurrent,10
0,e5ET,61.42075786088161,[0.48842924 8.58844757 0.51667163],120,w/o recurrent,10
1,i5Pvalb,62.24778009603875,[0.47312914 8.36175183 0.58683887],120,w/o recurrent,10
2,i5Sst,59.418782529763,[0.88779361 9.17693197 0.25882536],120,w/o recurrent,10
0,e5ET,53.633441870571765,[ 0.68242863 11.26350805  0.31893376],120,w/ recurrent,10
1,i5Pvalb,64.87705510504739,[0.55998694 7.69773141 0.40585076],120,w/ recurrent,10
2,i5Sst,60.5688337717391,[0.81960471 8.83174634 0.23776431],120,w/ recurrent,10
0,e5ET,60.14633200263916,[0.49848857 8.95626048 0.52677996],135,w/o recurrent,10
1,i5Pvalb,58.939980784074244,[0.39669898 9.32663606 0.50305695],135,w/o recurrent,10
2,i5Sst,57.289562627440866,[0.86243224 9.87174656 0.26212991],135,w/o recurrent,10
0,e5ET,53.023525416805086,[ 0.65112128 11.52412104  0.29593026],135,w/ recurrent,10
1,i5Pvalb,61.48824030892332,[0.57455427 8.56960652 0.42977241],135,w/ recurrent,10
2,i5Sst,60.481956643241965,[0.87217711 8.85713665 0.26136922],135,w/ recurrent,10
0,e5ET,59.64026134556034,[0.50530244 9.1089     0.541225  ],150,w/o recurrent,10
1,i5Pvalb,55.02723844918314,[ 0.47087015 10.7001428   0.61340975],150,w/o recurrent,10
2,i5Sst,57.218788798971644,[0.77096259 9.89618235 0.24252961],150,w/o recurrent,10
0,e5ET,54.897048812525924,[ 0.70723361 10.75095426  0.31491071],150,w/ recurrent,10
1,i5Pvalb,58.9205043354696,[0.54449224 9.33280301 0.39083833],150,w/ recurrent,10
2,i5Sst,58.46569177447128,[0.74136094 9.47857007 0.22679896],150,w/ recurrent,10
0,e5ET,59.972626099694466,[0.47774896 9.00821779 0.50659724],165,w/o recurrent,10
