,pop_name,s,params,target_angle,recurrent,binsize
0,e5ET,52.5548526239826,[ 0.67105461 11.73057674  0.28896351],135,w/ recurrent,10
1,i5Pvalb,56.92828450979975,[0.57469311 9.99744023 0.38498597],135,w/ recurrent,10
2,i5Sst,57.85847559925058,[0.81120306 9.67856645 0.26114139],135,w/ recurrent,10
0,e5ET,59.52250810388794,[0.49224884 9.14497588 0.55170504],150,w/o recurrent,10
1,i5Pvalb,55.02723844918314,[ 0.47087015 10.7001428   0.61340975],150,w/o recurrent,10
2,i5Sst,57.218788798971644,[0.77096259 9.89618235 0.24252961],150,w/o recurrent,10
0,e5ET,49.77129511938277,[ 0.68506224 13.07937906  0.3000944 ],150,w/ recurrent,10
1,i5Pvalb,60.93979707931605,[0.62797787 8.72454933 0.42024348],150,w/ recurrent,10
2,i5Sst,59.004890828672266,[0.74345434 9.30612728 0.23711053],150,w/ recurrent,10
0,e5ET,59.648806314423766,[0.4677498  9.10629041 0.51904866],165,w/o recurrent,10
1,i5Pvalb,54.77855144339911,[ 0.39909611 10.79751766  0.5259544 ],165,w/o recurrent,10
2,i5Sst,54.040496456422524,[ 0.78458273 11.09446463  0.2538    ],165,w/o recurrent,10
0,e5ET,48.60571915939512,[ 0.70074105 13.71419321  0.29310226],165,w/ recurrent,10
1,i5Pvalb,64.54345294550825,[0.53202494 7.77751073 0.34675037],165,w/ recurrent,10
2,i5Sst,56.50599789133877,[ 0.78752885 10.14742645  0.25804717],165,w/ recurrent,10
0,e5ET,60.60847659152681,[0.4661179  8.82019677 0.52059956],180,w/o recurrent,10
1,i5Pvalb,56.41115501967418,[ 0.43467287 10.18157644  0.56740847],180,w/o recurrent,10
2,i5Sst,54.471123163429894,[0.75450057 9.74013962 0.24244974],180,w/o recurrent,10
0,e5ET,47.29319202053615,[ 0.63880806 14.4859758   0.27836618],180,w/ recurrent,10
1,i5Pvalb,62.04757679946183,[0.62468436 8.4157991  0.45738185],180,w/ recurrent,10
2,i5Sst,56.435811554915155,[0.77115841 9.07378101 0.25798811],180,w/ recurrent,10
0,e5ET,62.11858404513052,[0.48388254 8.39657004 0.53518143],195,w/o recurrent,10
1,i5Pvalb,58.012362066109,[0.46391453 9.62728686 0.60757576],195,w/o recurrent,10
2,i5Sst,56.25856741407396,[ 0.90085816 10.23688141  0.27359978],195,w/o recurrent,10
0,e5ET,48.80531006432677,[ 0.73694225 13.60225329  0.3138526 ],195,w/ recurrent,10
1,i5Pvalb,62.24767143305817,[0.61383368 8.36178103 0.47600024],195,w/ recurrent,10
2,i5Sst,59.770981257902484,[0.85479952 9.06910101 0.258468  ],195,w/ recurrent,10
0,e5ET,64.42550431367413,[0.47276892 7.80601455 0.5083139 ],210,w/o recurrent,10
1,i5Pvalb,59.85307709490888,[0.44298096 9.0442393  0.58501193],210,w/o recurrent,10
2,i5Sst,57.307952469999954,[0.78384976 9.86541198 0.23237493],210,w/o recurrent,10
0,e5ET,52.345484637641576,[ 0.71311873 11.82460277  0.30012734],210,w/ recurrent,10
1,i5Pvalb,55.805201657845785,[ 0.53662291 10.40388748  0.48780566],210,w/ recurrent,10
2,i5Sst,61.30444145749411,[0.81985019 8.62106918 0.24606223],210,w/ recurrent,10
0,e5ET,65.97528478442347,[0.4896169  7.44359033 0.51372907],225,w/o recurrent,10
1,i5Pvalb,57.18175527550248,[0.45359903 9.90900495 0.59532079],225,w/o recurrent,10
2,i5Sst,57.937448684587686,[0.95279253 9.65219921 0.27932759],225,w/o recurrent,10
0,e5ET,55.09956915343718,[ 0.69814024 10.6720685   0.30098609],225,w/ recurrent,10
1,i5Pvalb,50.541139918809286,[ 0.45226639 12.68396236  0.46565554],225,w/ recurrent,10
2,i5Sst,61.05627561258904,[0.88152196 8.69129302 0.27789273],225,w/ recurrent,10
0,e5ET,65.1950974843008,[0.49431841 7.62281065 0.5318858 ],240,w/o recurrent,10
1,i5Pvalb,58.00778606127032,[0.4204311  9.62880584 0.55166724],240,w/o recurrent,10
2,i5Sst,58.0393755565154,[0.78079675 9.61832722 0.22990403],240,w/o recurrent,10
0,e5ET,57.21464628792065,[0.67800564 9.89761543 0.29231499],240,w/ recurrent,10
1,i5Pvalb,53.07930267399758,[ 0.45267728 11.49991401  0.48443057],240,w/ recurrent,10
2,i5Sst,60.331984438621795,[0.77399874 8.90122521 0.23907551],240,w/ recurrent,10
0,e5ET,63.72665624638367,[0.46480421 7.9781601  0.509347  ],255,w/o recurrent,10
1,i5Pvalb,56.726439474593185,[ 0.45370877 10.06871295  0.57228817],255,w/o recurrent,10
2,i5Sst,57.8983041318602,[0.69252889 9.66525516 0.19982322],255,w/o recurrent,10
0,e5ET,56.8318169537809,[ 0.66018088 10.03140878  0.30533849],255,w/ recurrent,10
1,i5Pvalb,50.1843606002495,[ 0.51751127 12.86495347  0.62199058],255,w/ recurrent,10
2,i5Sst,58.32423500469738,[0.68185648 9.52460355 0.22058628],255,w/ recurrent,10
0,e5ET,62.88600682904102,[0.4541075  8.19288716 0.50476079],270,w/o recurrent,10
1,i5Pvalb,58.08607111574166,[0.43229721 9.60286903 0.55021073],270,w/o recurrent,10
2,i5Sst,58.39927693990289,[0.74740359 9.50014142 0.21234021],270,w/o recurrent,10
0,e5ET,55.7868308585255,[ 0.68992198 10.41074068  0.33256503],270,w/ recurrent,10
1,i5Pvalb,50.61410758042833,[ 0.40654103 12.64741713  0.48988566],270,w/ recurrent,10
2,i5Sst,58.00446757178517,[0.74848473 9.62990762 0.23982691],270,w/ recurrent,10
0,e5ET,62.533366788435195,[0.46591991 8.28555085 0.52285198],285,w/o recurrent,10
1,i5Pvalb,60.52135816217854,[0.42441965 8.84560779 0.5285083 ],285,w/o recurrent,10
2,i5Sst,59.030132468581314,[0.83975449 9.29817026 0.22427103],285,w/o recurrent,10
0,e5ET,53.67478970139007,[ 0.68813377 11.24616127  0.36083019],285,w/ recurrent,10
1,i5Pvalb,50.55174311750571,[ 0.39902446 12.67864201  0.53676645],285,w/ recurrent,10
2,i5Sst,57.67837801610602,[0.82242325 9.7391024  0.24998466],285,w/ recurrent,10
0,e5ET,61.83405507037737,[0.48714324 8.47402134 0.54743418],300,w/o recurrent,10
1,i5Pvalb,61.64929213169801,[0.46652074 8.52489074 0.57491293],300,w/o recurrent,10
2,i5Sst,57.56900461483079,[0.72626546 9.77614353 0.20387677],300,w/o recurrent,10
0,e5ET,50.49864016295635,[ 0.56703557 12.70532104  0.31370368],300,w/ recurrent,10
1,i5Pvalb,53.37811832180469,[ 0.43172955 11.37151923  0.5517531 ],300,w/ recurrent,10
2,i5Sst,56.403582344471516,[ 0.72147798 10.18431056  0.22468709],300,w/ recurrent,10
0,e5ET,62.11837925727359,[0.47735372 8.3966254  0.53736037],315,w/o recurrent,10
1,i5Pvalb,62.62855325626094,[0.47042979 8.26038428 0.57048687],315,w/o recurrent,10
2,i5Sst,54.62260353117031,[ 0.81333218 10.85925964  0.22691765],315,w/o recurrent,10
0,e5ET,47.378698686867814,[ 0.63540074 14.43373588  0.36540656],315,w/ recurrent,10
1,i5Pvalb,55.133240359121615,[ 0.43555717 10.6590371   0.58126078],315,w/ recurrent,10
2,i5Sst,53.977155861211024,[ 0.76859968 11.12051796  0.23562172],315,w/ recurrent,10
0,e5ET,60.392255198567554,[0.45869732 8.88346744 0.51893059],330,w/o recurrent,10
1,i5Pvalb,57.907664828362925,[0.43230629 9.66213066 0.54396708],330,w/o recurrent,10
2,i5Sst,53.20660975242925,[ 0.69670312 11.44494832  0.20538799],330,w/o recurrent,10
0,e5ET,45.732063816433225,[ 0.59622955 15.49185447  0.3537728 ],330,w/ recurrent,10
1,i5Pvalb,58.46471093095013,[0.41286335 9.47888811 0.50747319],330,w/ recurrent,10
2,i5Sst,53.34063216938071,[ 0.68924836 11.38750795  0.21573337],330,w/ recurrent,10
0,e5ET,59.94840701137769,[0.46401292 9.01549788 0.53369214],345,w/o recurrent,10
1,i5Pvalb,57.69753369658442,[0.44523323 9.73263668 0.5470172 ],345,w/o recurrent,10
2,i5Sst,50.92239111213049,[ 0.76160857 12.49474605  0.22316956],345,w/o recurrent,10
0,e5ET,46.843698593092896,[ 0.66521422 14.76531289  0.39167589],345,w/ recurrent,10
1,i5Pvalb,61.65215419405659,[0.5411834  8.52409926 0.6146918 ],345,w/ recurrent,10
2,i5Sst,54.12372039110928,[ 0.77924183 11.06037181  0.22905497],345,w/ recurrent,10
