,pop_name,peak_freq,FWHM,recurrent,target_angle
0,e5ET,16.0,12.68918881680861,w/o recurrent,0
1,i5Pvalb,20.0,28.148484072117668,w/o recurrent,0
2,i5Sst,16.0,25.655204133544938,w/o recurrent,0
0,e5ET,36.0,33.87838268050362,w/ recurrent,0
1,i5Pvalb,40.0,24.78672294587708,w/ recurrent,0
2,i5Sst,16.0,32.061995538929445,w/ recurrent,0
0,e5ET,18.0,9.556071673425869,w/o recurrent,15
1,i5Pvalb,20.0,27.635317410741735,w/o recurrent,15
2,i5Sst,18.0,24.326542850642074,w/o recurrent,15
0,e5ET,36.0,29.812144876877575,w/ recurrent,15
1,i5Pvalb,42.0,23.81811786242097,w/ recurrent,15
2,i5Sst,16.0,37.739906667308546,w/ recurrent,15
0,e5ET,18.0,8.66992967711651,w/o recurrent,30
1,i5Pvalb,20.0,27.585111835066773,w/o recurrent,30
2,i5Sst,16.0,32.58819827412217,w/o recurrent,30
0,e5ET,36.0,25.287387474765172,w/ recurrent,30
1,i5Pvalb,38.0,26.224886460661395,w/ recurrent,30
2,i5Sst,16.0,20.800800811653083,w/ recurrent,30
0,e5ET,16.0,14.58525931698729,w/o recurrent,45
1,i5Pvalb,20.0,33.63802037945932,w/o recurrent,45
2,i5Sst,16.0,25.759841227323886,w/o recurrent,45
0,e5ET,36.0,24.158955878295018,w/ recurrent,45
1,i5Pvalb,38.0,25.637495630031236,w/ recurrent,45
2,i5Sst,24.0,19.30379200965237,w/ recurrent,45
0,e5ET,16.0,15.260405294681204,w/o recurrent,60
1,i5Pvalb,24.0,34.155403748191695,w/o recurrent,60
2,i5Sst,18.0,26.475814594811958,w/o recurrent,60
0,e5ET,36.0,26.086335929670977,w/ recurrent,60
1,i5Pvalb,40.0,25.431262950630636,w/ recurrent,60
2,i5Sst,16.0,20.98842556079739,w/ recurrent,60
0,e5ET,18.0,14.29686512933888,w/o recurrent,75
1,i5Pvalb,20.0,32.32909866348988,w/o recurrent,75
2,i5Sst,18.0,23.782843575435283,w/o recurrent,75
0,e5ET,36.0,23.296222726531234,w/ recurrent,75
1,i5Pvalb,40.0,33.865913806573204,w/ recurrent,75
2,i5Sst,24.0,34.588571727463346,w/ recurrent,75
0,e5ET,18.0,8.579183358444336,w/o recurrent,90
1,i5Pvalb,20.0,27.33090866925391,w/o recurrent,90
2,i5Sst,18.0,26.085885463310653,w/o recurrent,90
0,e5ET,36.0,21.52645271517056,w/ recurrent,90
1,i5Pvalb,40.0,28.60016324741389,w/ recurrent,90
2,i5Sst,18.0,39.56939781889882,w/ recurrent,90
0,e5ET,16.0,13.362750448631317,w/o recurrent,105
1,i5Pvalb,20.0,26.01414743399173,w/o recurrent,105
2,i5Sst,18.0,27.303357787799115,w/o recurrent,105
0,e5ET,36.0,31.246567118450137,w/ recurrent,105
1,i5Pvalb,36.0,27.975891334626162,w/ recurrent,105
2,i5Sst,18.0,36.55329761828799,w/ recurrent,105
0,e5ET,16.0,14.044321752124853,w/o recurrent,120
