,pop_name,peak_freq,FWHM,recurrent,target_angle
0,e5ET,16.0,12.68918881680861,w/o recurrent,0
1,i5Pvalb,20.0,28.148484072117668,w/o recurrent,0
2,i5Sst,16.0,25.655204133544938,w/o recurrent,0
0,e5ET,42.0,39.41752683258497,w/ recurrent,0
1,i5Pvalb,40.0,31.694490919712305,w/ recurrent,0
2,i5Sst,16.0,26.095034403850555,w/ recurrent,0
0,e5ET,18.0,9.556071673425869,w/o recurrent,15
1,i5Pvalb,20.0,27.635317410741735,w/o recurrent,15
2,i5Sst,18.0,24.326542850642074,w/o recurrent,15
0,e5ET,36.0,29.740424990024028,w/ recurrent,15
1,i5Pvalb,38.0,24.593832404590806,w/ recurrent,15
2,i5Sst,24.0,38.34062496293818,w/ recurrent,15
0,e5ET,18.0,8.66992967711651,w/o recurrent,30
1,i5Pvalb,20.0,27.585111835066773,w/o recurrent,30
2,i5Sst,16.0,32.58819827412217,w/o recurrent,30
0,e5ET,36.0,35.7303729661154,w/ recurrent,30
1,i5Pvalb,36.0,22.73541316449109,w/ recurrent,30
2,i5Sst,16.0,33.36864933645333,w/ recurrent,30
0,e5ET,16.0,14.58525931698729,w/o recurrent,45
1,i5Pvalb,20.0,33.63802037945932,w/o recurrent,45
2,i5Sst,16.0,25.759841227323886,w/o recurrent,45
0,e5ET,36.0,28.409580562143983,w/ recurrent,45
1,i5Pvalb,38.0,29.835234976371023,w/ recurrent,45
2,i5Sst,16.0,27.57210463879616,w/ recurrent,45
0,e5ET,16.0,15.260405294681204,w/o recurrent,60
1,i5Pvalb,24.0,34.155403748191695,w/o recurrent,60
2,i5Sst,18.0,26.475814594811958,w/o recurrent,60
0,e5ET,36.0,21.48391314784878,w/ recurrent,60
1,i5Pvalb,38.0,33.718964156981,w/ recurrent,60
2,i5Sst,16.0,15.630772648043791,w/ recurrent,60
0,e5ET,18.0,14.29686512933888,w/o recurrent,75
1,i5Pvalb,20.0,32.32909866348988,w/o recurrent,75
2,i5Sst,18.0,23.782843575435283,w/o recurrent,75
0,e5ET,36.0,20.9150136468645,w/ recurrent,75
1,i5Pvalb,40.0,24.320932892784736,w/ recurrent,75
2,i5Sst,16.0,38.788431611158444,w/ recurrent,75
0,e5ET,18.0,8.579183358444336,w/o recurrent,90
1,i5Pvalb,20.0,27.33090866925391,w/o recurrent,90
2,i5Sst,18.0,26.085885463310653,w/o recurrent,90
0,e5ET,26.0,28.193045541968896,w/ recurrent,90
1,i5Pvalb,40.0,23.77875966621203,w/ recurrent,90
2,i5Sst,18.0,24.76138274480008,w/ recurrent,90
0,e5ET,16.0,13.362750448631317,w/o recurrent,105
1,i5Pvalb,20.0,26.01414743399173,w/o recurrent,105
2,i5Sst,18.0,27.303357787799115,w/o recurrent,105
0,e5ET,36.0,36.82387254321473,w/ recurrent,105
1,i5Pvalb,38.0,35.5779621166796,w/ recurrent,105
2,i5Sst,26.0,32.53514990491234,w/ recurrent,105
0,e5ET,16.0,14.044321752124853,w/o recurrent,120
