,pop_name,peak_freq,FWHM,recurrent,target_angle
0,e5ET,16.0,14.122478365986122,w/o recurrent,0
1,i5Pvalb,20.0,35.0435807901696,w/o recurrent,0
2,i5Sst,18.0,24.396768305372166,w/o recurrent,0
0,e5ET,36.0,33.870820144285396,w/ recurrent,0
1,i5Pvalb,38.0,39.25888185894601,w/ recurrent,0
2,i5Sst,18.0,30.794541591737868,w/ recurrent,0
0,e5ET,18.0,12.25028161339127,w/o recurrent,15
1,i5Pvalb,20.0,34.56393982459309,w/o recurrent,15
2,i5Sst,16.0,26.929399083641712,w/o recurrent,15
0,e5ET,24.0,32.592555455670535,w/ recurrent,15
1,i5Pvalb,40.0,35.449599595394226,w/ recurrent,15
2,i5Sst,24.0,15.997309865125512,w/ recurrent,15
0,e5ET,16.0,8.895698220630496,w/o recurrent,30
1,i5Pvalb,20.0,38.84776750416653,w/o recurrent,30
2,i5Sst,16.0,26.003681192804613,w/o recurrent,30
0,e5ET,36.0,33.153312774009315,w/ recurrent,30
1,i5Pvalb,38.0,28.23207936830251,w/ recurrent,30
2,i5Sst,16.0,16.639870897921373,w/ recurrent,30
0,e5ET,16.0,14.645107031742908,w/o recurrent,45
1,i5Pvalb,20.0,29.47493457018319,w/o recurrent,45
2,i5Sst,16.0,30.89963532423692,w/o recurrent,45
0,e5ET,36.0,32.88315321371323,w/ recurrent,45
1,i5Pvalb,38.0,24.85152514556862,w/ recurrent,45
2,i5Sst,16.0,33.13137555590859,w/ recurrent,45
0,e5ET,16.0,13.85326399444919,w/o recurrent,60
1,i5Pvalb,20.0,44.72295051374901,w/o recurrent,60
2,i5Sst,18.0,21.325881866150628,w/o recurrent,60
0,e5ET,36.0,30.450474123184563,w/ recurrent,60
1,i5Pvalb,40.0,24.666136598842446,w/ recurrent,60
2,i5Sst,16.0,25.506619159670393,w/ recurrent,60
0,e5ET,18.0,13.420757726529201,w/o recurrent,75
1,i5Pvalb,20.0,39.84423794548213,w/o recurrent,75
2,i5Sst,24.0,23.17300279931828,w/o recurrent,75
0,e5ET,36.0,30.247387821606743,w/ recurrent,75
1,i5Pvalb,38.0,32.600910440821515,w/ recurrent,75
2,i5Sst,16.0,21.87929001059607,w/ recurrent,75
0,e5ET,16.0,13.410750092207794,w/o recurrent,90
1,i5Pvalb,20.0,33.61005908058612,w/o recurrent,90
2,i5Sst,18.0,30.721713476091765,w/o recurrent,90
0,e5ET,36.0,24.925246944542515,w/ recurrent,90
1,i5Pvalb,44.0,29.740533085484238,w/ recurrent,90
2,i5Sst,16.0,17.648019487714183,w/ recurrent,90
0,e5ET,16.0,13.411786573558214,w/o recurrent,105
1,i5Pvalb,20.0,35.184222476345674,w/o recurrent,105
2,i5Sst,18.0,26.15054100752267,w/o recurrent,105
0,e5ET,24.0,31.981919349066793,w/ recurrent,105
1,i5Pvalb,40.0,28.348803510018037,w/ recurrent,105
2,i5Sst,16.0,27.241187078312045,w/ recurrent,105
0,e5ET,16.0,14.273346049204122,w/o recurrent,120
1,i5Pvalb,20.0,29.404894307559545,w/o recurrent,120
2,i5Sst,18.0,27.62705594969988,w/o recurrent,120
0,e5ET,36.0,30.90635261363228,w/ recurrent,120
1,i5Pvalb,32.0,32.50530355745106,w/ recurrent,120
2,i5Sst,16.0,32.4138302159099,w/ recurrent,120
0,e5ET,16.0,14.26788437525956,w/o recurrent,135
1,i5Pvalb,20.0,28.332143795206797,w/o recurrent,135
2,i5Sst,18.0,22.16741517670613,w/o recurrent,135
0,e5ET,24.0,14.184159877218752,w/ recurrent,135
1,i5Pvalb,34.0,31.208232681679398,w/ recurrent,135
2,i5Sst,16.0,34.334922093246455,w/ recurrent,135
0,e5ET,18.0,13.490443531481196,w/o recurrent,150
1,i5Pvalb,20.0,32.35264720649974,w/o recurrent,150
2,i5Sst,18.0,22.973355657993842,w/o recurrent,150
0,e5ET,36.0,15.318078325605484,w/ recurrent,150
1,i5Pvalb,36.0,29.638116347487625,w/ recurrent,150
2,i5Sst,18.0,37.144453933489125,w/ recurrent,150
0,e5ET,16.0,17.48510166560795,w/o recurrent,165
1,i5Pvalb,20.0,37.62076227978996,w/o recurrent,165
2,i5Sst,8.0,23.170658897291062,w/o recurrent,165
0,e5ET,36.0,30.435811438454113,w/ recurrent,165
1,i5Pvalb,36.0,26.313429410482872,w/ recurrent,165
2,i5Sst,18.0,27.957900048712517,w/ recurrent,165
0,e5ET,16.0,9.363091912453164,w/o recurrent,180
1,i5Pvalb,20.0,37.08045199280292,w/o recurrent,180
2,i5Sst,16.0,35.16348185801125,w/o recurrent,180
0,e5ET,36.0,30.015736668588165,w/ recurrent,180
