,pop_name,s,params,target_angle,recurrent,binsize
0,e5ET,59.08256611447582,[0.48805904 9.28167401 0.54775899],0,w/o recurrent,10
1,i5Pvalb,56.7699075077966,[ 0.39301264 10.05329987  0.6167495 ],0,w/o recurrent,10
2,i5Sst,54.55953731260345,[ 0.74742556 10.88437893  0.2471244 ],0,w/o recurrent,10
0,e5ET,55.15221433108389,[ 0.66616375 10.65170433  0.35133615],0,w/ recurrent,10
1,i5Pvalb,65.96578428226547,[0.517348   7.44573456 0.49958138],0,w/ recurrent,10
2,i5Sst,53.92642818874936,[ 0.72847349 11.14144956  0.23492042],0,w/ recurrent,10
0,e5ET,60.58410233343654,[0.47072973 8.8272953  0.52490703],15,w/o recurrent,10
1,i5Pvalb,56.2953620914795,[ 0.39106297 10.22350412  0.60545608],15,w/o recurrent,10
2,i5Sst,57.42405832852405,[0.80700837 9.82555851 0.2556368 ],15,w/o recurrent,10
0,e5ET,56.42031138899518,[ 0.6567468  10.178272    0.33282083],15,w/ recurrent,10
1,i5Pvalb,57.91484092056577,[0.43232436 9.65973639 0.49933065],15,w/ recurrent,10
2,i5Sst,56.00171447498628,[ 0.83771555 10.33100006  0.25065021],15,w/ recurrent,10
0,e5ET,61.408566284729254,[0.48022118 8.59185807 0.54166739],30,w/o recurrent,10
1,i5Pvalb,56.37569783044008,[ 0.40598869 10.19438776  0.62863046],30,w/o recurrent,10
2,i5Sst,55.91761881446164,[ 0.81317112 10.36209744  0.26547271],30,w/o recurrent,10
0,e5ET,53.90487422492529,[ 0.5961034  11.1503612   0.30983065],30,w/ recurrent,10
1,i5Pvalb,62.253855311747536,[0.50931668 8.3601199  0.49874103],30,w/ recurrent,10
2,i5Sst,57.31163803611963,[0.78135904 9.86414318 0.23558254],30,w/ recurrent,10
0,e5ET,63.17723972299265,[0.47315673 8.11752651 0.51796751],45,w/o recurrent,10
1,i5Pvalb,56.609296415778594,[ 0.39632573 10.11042695  0.61882642],45,w/o recurrent,10
2,i5Sst,57.51333951495723,[0.80649095 9.79507665 0.27071809],45,w/o recurrent,10
0,e5ET,52.66635867485257,[ 0.68194273 11.680957    0.3468915 ],45,w/ recurrent,10
1,i5Pvalb,57.10824862380464,[0.50178109 9.93453003 0.53389911],45,w/ recurrent,10
2,i5Sst,57.17306315590855,[0.85617752 9.91201814 0.26221425],45,w/ recurrent,10
0,e5ET,65.77989158577657,[0.49871251 7.48787703 0.52872163],60,w/o recurrent,10
1,i5Pvalb,60.40805248057602,[0.38157868 8.87882183 0.58182526],60,w/o recurrent,10
2,i5Sst,54.58861987901893,[ 0.70633677 10.87278452  0.24950994],60,w/o recurrent,10
0,e5ET,52.748413944422715,[ 0.69918089 11.64464355  0.32488287],60,w/ recurrent,10
1,i5Pvalb,59.06716344950216,[0.5200085  9.28651531 0.49106479],60,w/ recurrent,10
2,i5Sst,56.2569656123888,[ 0.73205613 10.23746437  0.23662129],60,w/ recurrent,10
0,e5ET,65.07954757704339,[0.49391655 7.64990356 0.5276869 ],75,w/o recurrent,10
1,i5Pvalb,62.830496917066625,[0.40021191 8.20737016 0.60436236],75,w/o recurrent,10
2,i5Sst,54.570161463972596,[ 0.74852528 10.88014123  0.28872749],75,w/o recurrent,10
0,e5ET,53.318885178552776,[ 0.69258521 11.39679902  0.30628658],75,w/ recurrent,10
1,i5Pvalb,58.453909666822405,[0.50713881 9.4823915  0.46433907],75,w/ recurrent,10
2,i5Sst,56.187241393609895,[ 0.76800279 10.26288801  0.26663046],75,w/ recurrent,10
0,e5ET,63.4098596576528,[0.46410262 8.05807725 0.50421357],90,w/o recurrent,10
1,i5Pvalb,63.42381102393586,[0.39816792 8.05453256 0.60524802],90,w/o recurrent,10
2,i5Sst,56.38614729851254,[ 0.84391932 10.19060967  0.31503734],90,w/o recurrent,10
0,e5ET,54.696455259433456,[ 0.71695234 10.82995487  0.3001149 ],90,w/ recurrent,10
1,i5Pvalb,53.79878271480022,[ 0.61058577 11.19438172  0.55271545],90,w/ recurrent,10
2,i5Sst,57.022408852073205,[0.81522642 9.96446282 0.28186422],90,w/ recurrent,10
0,e5ET,62.28684551887257,[0.47594788 8.35126638 0.51583078],105,w/o recurrent,10
1,i5Pvalb,63.900171070028726,[0.40770085 7.93489106 0.61962007],105,w/o recurrent,10
2,i5Sst,59.41209017383032,[0.69072402 9.17899952 0.24786637],105,w/o recurrent,10
0,e5ET,54.29224086724667,[ 0.74402053 10.99181666  0.30514394],105,w/ recurrent,10
1,i5Pvalb,52.27457812654271,[ 0.60416734 11.85670288  0.53027327],105,w/ recurrent,10
2,i5Sst,61.68706994176216,[0.7235913  8.51445247 0.23421577],105,w/ recurrent,10
0,e5ET,61.34864215506643,[0.48293852 8.60865098 0.52171133],120,w/o recurrent,10
1,i5Pvalb,62.48580609908515,[0.41621888 8.29816864 0.63622327],120,w/o recurrent,10
2,i5Sst,60.84708575734174,[0.84218754 8.75115638 0.2946417 ],120,w/o recurrent,10
0,e5ET,56.16567711922518,[ 0.67157819 10.2707702   0.27532717],120,w/ recurrent,10
1,i5Pvalb,52.557800915475305,[ 0.53698537 11.7292607   0.48627907],120,w/ recurrent,10
2,i5Sst,60.87938173422254,[0.83752529 8.74187402 0.27824471],120,w/ recurrent,10
0,e5ET,60.24167793880739,[0.49403231 8.92793234 0.5322079 ],135,w/o recurrent,10
1,i5Pvalb,59.442448069567135,[0.36174711 9.16962629 0.56042296],135,w/o recurrent,10
2,i5Sst,58.49804673076635,[0.80439683 9.46808787 0.29732987],135,w/o recurrent,10
0,e5ET,55.8372864854688,[ 0.69730934 10.3919345   0.27963517],135,w/ recurrent,10
1,i5Pvalb,53.19974095040441,[ 0.52965603 11.4479039   0.44527152],135,w/ recurrent,10
2,i5Sst,59.564762297825034,[0.77681006 9.13200592 0.27419256],135,w/ recurrent,10
0,e5ET,59.55734187940504,[0.49938493 9.13428162 0.54484199],150,w/o recurrent,10
1,i5Pvalb,56.74855828568771,[ 0.40729509 10.06086554  0.64846618],150,w/o recurrent,10
2,i5Sst,58.57262276819935,[0.74168167 9.44399324 0.27843614],150,w/o recurrent,10
0,e5ET,57.14709113420673,[0.67916069 9.92102975 0.26646345],150,w/ recurrent,10
1,i5Pvalb,56.73987661498207,[ 0.56016877 10.06394457  0.51073192],150,w/ recurrent,10
