,pop_name,peak_freq,FWHM,recurrent,target_angle
0,e5ET,18.0,15.748391848762106,w/o recurrent,0
1,i5Pvalb,20.0,35.0435807901696,w/o recurrent,0
2,i5Sst,18.0,25.420902809586536,w/o recurrent,0
0,e5ET,24.0,16.209380862518724,w/ recurrent,0
1,i5Pvalb,38.0,39.863172891799735,w/ recurrent,0
2,i5Sst,20.0,21.031996519224357,w/ recurrent,0
0,e5ET,16.0,15.572084407126438,w/o recurrent,15
1,i5Pvalb,20.0,34.56393982459309,w/o recurrent,15
2,i5Sst,18.0,31.250867347748695,w/o recurrent,15
0,e5ET,20.0,29.63204777704877,w/ recurrent,15
1,i5Pvalb,54.0,75.66580199884186,w/ recurrent,15
2,i5Sst,18.0,20.535581381907598,w/ recurrent,15
0,e5ET,16.0,11.000162610055748,w/o recurrent,30
1,i5Pvalb,20.0,38.84776750416653,w/o recurrent,30
2,i5Sst,16.0,29.932868946803403,w/o recurrent,30
0,e5ET,24.0,33.44890782889718,w/ recurrent,30
1,i5Pvalb,50.0,51.60234284101997,w/ recurrent,30
2,i5Sst,16.0,20.296039613114125,w/ recurrent,30
0,e5ET,16.0,14.851668580932985,w/o recurrent,45
1,i5Pvalb,20.0,29.47493457018319,w/o recurrent,45
2,i5Sst,16.0,31.458366454761723,w/o recurrent,45
0,e5ET,24.0,21.498287813516605,w/ recurrent,45
1,i5Pvalb,38.0,42.30861161517016,w/ recurrent,45
2,i5Sst,18.0,21.65683916035404,w/ recurrent,45
0,e5ET,16.0,14.042881558670185,w/o recurrent,60
1,i5Pvalb,20.0,44.72295051374901,w/o recurrent,60
2,i5Sst,18.0,19.727320965999088,w/o recurrent,60
0,e5ET,24.0,32.78477186845774,w/ recurrent,60
1,i5Pvalb,40.0,39.86604689722123,w/ recurrent,60
2,i5Sst,16.0,20.293053149122244,w/ recurrent,60
0,e5ET,18.0,15.493076108409731,w/o recurrent,75
1,i5Pvalb,20.0,39.84423794548213,w/o recurrent,75
2,i5Sst,18.0,21.610789213057963,w/o recurrent,75
0,e5ET,24.0,29.967631676245865,w/ recurrent,75
1,i5Pvalb,40.0,16.6930957979298,w/ recurrent,75
2,i5Sst,16.0,26.26504745280897,w/ recurrent,75
0,e5ET,16.0,14.39356455019501,w/o recurrent,90
1,i5Pvalb,20.0,33.61005908058612,w/o recurrent,90
2,i5Sst,18.0,22.155834681957508,w/o recurrent,90
0,e5ET,24.0,28.44386777254147,w/ recurrent,90
1,i5Pvalb,54.0,63.776637711972484,w/ recurrent,90
2,i5Sst,18.0,18.705564410344415,w/ recurrent,90
0,e5ET,16.0,15.529089493710583,w/o recurrent,105
1,i5Pvalb,20.0,35.184222476345674,w/o recurrent,105
2,i5Sst,18.0,23.944336256537284,w/o recurrent,105
0,e5ET,24.0,28.927017561388467,w/ recurrent,105
1,i5Pvalb,40.0,50.57770640278312,w/ recurrent,105
2,i5Sst,18.0,17.604283252214472,w/ recurrent,105
0,e5ET,16.0,14.256209073819996,w/o recurrent,120
1,i5Pvalb,20.0,29.404894307559545,w/o recurrent,120
2,i5Sst,18.0,19.671393278894655,w/o recurrent,120
0,e5ET,24.0,32.201000122002135,w/ recurrent,120
1,i5Pvalb,40.0,30.304360155052517,w/ recurrent,120
2,i5Sst,16.0,18.363698013458873,w/ recurrent,120
0,e5ET,16.0,15.529936129533642,w/o recurrent,135
1,i5Pvalb,20.0,28.332143795206797,w/o recurrent,135
2,i5Sst,16.0,23.17775267446372,w/o recurrent,135
0,e5ET,24.0,16.531945188357795,w/ recurrent,135
1,i5Pvalb,40.0,39.31460252008233,w/ recurrent,135
2,i5Sst,16.0,26.390870609166466,w/ recurrent,135
0,e5ET,18.0,12.786134015533385,w/o recurrent,150
1,i5Pvalb,20.0,32.35264720649974,w/o recurrent,150
2,i5Sst,18.0,21.16492360080445,w/o recurrent,150
0,e5ET,18.0,31.30478161907655,w/ recurrent,150
1,i5Pvalb,32.0,38.21495209412811,w/ recurrent,150
2,i5Sst,18.0,30.87084332514206,w/ recurrent,150
0,e5ET,16.0,13.230231562305768,w/o recurrent,165
1,i5Pvalb,20.0,37.62076227978996,w/o recurrent,165
