,pop_name,s,params,target_angle,recurrent,binsize
0,e5ET,60.097823738496096,[0.53961342 8.97072449 0.49900967],0,w/o recurrent,10
1,i5Pvalb,56.7699075077966,[ 0.39301264 10.05329987  0.6167495 ],0,w/o recurrent,10
2,i5Sst,54.271396594284916,[ 0.72866476 11.00026164  0.27590586],0,w/o recurrent,10
0,e5ET,55.55914993170722,[ 0.7119008  10.49624177  0.28509236],0,w/ recurrent,10
1,i5Pvalb,62.54110338009532,[0.40927868 8.28350106 0.47856014],0,w/ recurrent,10
2,i5Sst,52.40842393761874,[ 0.74521635 11.79621858  0.2545971 ],0,w/ recurrent,10
0,e5ET,60.71670778862227,[0.51627915 8.78877973 0.47338098],15,w/o recurrent,10
1,i5Pvalb,56.2953620914795,[ 0.39106297 10.22350412  0.60545608],15,w/o recurrent,10
2,i5Sst,57.39442956152785,[0.78278134 9.83570563 0.2865152 ],15,w/o recurrent,10
0,e5ET,56.95629737958898,[0.75756989 9.98760855 0.2800294 ],15,w/ recurrent,10
1,i5Pvalb,55.662005735997475,[ 0.44770305 10.45748636  0.57473294],15,w/ recurrent,10
2,i5Sst,54.54534656408576,[ 0.81276479 10.89004312  0.27136651],15,w/ recurrent,10
0,e5ET,61.980955770261744,[0.53498001 8.43390049 0.48734076],30,w/o recurrent,10
1,i5Pvalb,56.37569783044008,[ 0.40598869 10.19438776  0.62863046],30,w/o recurrent,10
2,i5Sst,55.80201712576089,[ 0.77855036 10.40507498  0.28785434],30,w/o recurrent,10
0,e5ET,56.35494106256775,[ 0.70787668 10.20189878  0.25903624],30,w/ recurrent,10
1,i5Pvalb,57.72590580184324,[0.42011304 9.72307191 0.47352661],30,w/ recurrent,10
2,i5Sst,55.2524270353868,[ 0.77471109 10.61310084  0.25401047],30,w/ recurrent,10
0,e5ET,63.30432650322555,[0.52151722 8.0849665  0.46875776],45,w/o recurrent,10
1,i5Pvalb,56.609296415778594,[ 0.39632573 10.11042695  0.61882642],45,w/o recurrent,10
2,i5Sst,57.61058311641468,[0.77802791 9.76203742 0.29789958],45,w/o recurrent,10
0,e5ET,55.78061920511953,[ 0.77389874 10.41305946  0.27917861],45,w/ recurrent,10
1,i5Pvalb,56.4485763136349,[ 0.42857543 10.16808163  0.52845787],45,w/ recurrent,10
2,i5Sst,57.46550789239858,[0.83177352 9.81138937 0.26732645],45,w/ recurrent,10
0,e5ET,65.45658763267578,[0.55077396 7.56202812 0.47710622],60,w/o recurrent,10
1,i5Pvalb,60.40805248057602,[0.38157868 8.87882183 0.58182526],60,w/o recurrent,10
2,i5Sst,55.16733786269805,[ 0.68108356 10.64586503  0.2700881 ],60,w/o recurrent,10
0,e5ET,55.16095312607218,[ 0.7517661  10.64832963  0.26130401],60,w/ recurrent,10
1,i5Pvalb,54.938796400785264,[ 0.53383997 10.73462133  0.56515729],60,w/ recurrent,10
2,i5Sst,57.66735854725874,[0.72446384 9.74282478 0.22952736],60,w/ recurrent,10
0,e5ET,64.55740614446795,[0.54505997 7.77414909 0.48036229],75,w/o recurrent,10
1,i5Pvalb,62.83049739075541,[0.40021191 8.20737004 0.60436236],75,w/o recurrent,10
2,i5Sst,55.02401651695533,[ 0.72863486 10.70139593  0.31902544],75,w/o recurrent,10
0,e5ET,56.31813322364209,[ 0.7512474  10.21523845  0.24980214],75,w/ recurrent,10
1,i5Pvalb,61.25744900568235,[0.50577619 8.63430123 0.47331048],75,w/ recurrent,10
2,i5Sst,57.41479023333386,[0.77955882 9.82873091 0.25840322],75,w/ recurrent,10
0,e5ET,63.48557310620538,[0.51198015 8.03886844 0.45394038],90,w/o recurrent,10
