model_id population "Unitary PSP" syn_weight nsyns dynamics_params target_median_fr syn_weight_psp
485574832 e5ET 0.05099999999998772 3.31151020159 1 exc_to_e5et.json 4.05 64.93157258021171
485838981 e5ET 0.06199999999999761 3.31151020159 1 exc_to_e5et.json 4.05 53.4114548643569
486111903 e5ET 0.06199999999999761 3.31151020159 1 exc_to_e5et.json 4.05 53.4114548643569
488679042 e5ET 0.05099999999998772 3.31151020159 1 exc_to_e5et.json 4.05 64.93157258021171
488680917 e5ET 0.060000000000002274 3.31151020159 1 exc_to_e5et.json 4.05 55.191836693164575
488683425 e5ET 0.04999999999999716 3.31151020159 1 exc_to_e5et.json 4.05 66.23020403180377
313861608 i5Pvalb 0.04099999999999682 3.2695254225500004e-18 1 exc_to_pv.json 8.94 7.974452250122572e-17
318556138 i5Pvalb 0.05200000000000671 3.2695254225500004e-18 1 exc_to_pv.json 8.94 6.28754888951842e-17
320455763 i5Pvalb 0.042999999999992156 3.2695254225500004e-18 1 exc_to_pv.json 8.94 7.603547494303713e-17
469801569 i5Pvalb 0.0379999999999967 3.2695254225500004e-18 1 exc_to_pv.json 8.94 8.604014269869169e-17
478949560 i5Pvalb 0.04999999999999716 3.2695254225500004e-18 1 exc_to_pv.json 8.94 6.539050845100373e-17
480952106 i5Pvalb 0.04999999999999716 3.2695254225500004e-18 1 exc_to_pv.json 8.94 6.539050845100373e-17
481093525 i5Pvalb 0.04100000000001103 3.2695254225500004e-18 1 exc_to_pv.json 8.94 7.974452250119807e-17
484742372 i5Pvalb 0.0519999999999925 3.2695254225500004e-18 1 exc_to_pv.json 8.94 6.287548889520138e-17
487400838 i5Pvalb 0.05000000000001137 3.2695254225500004e-18 1 exc_to_pv.json 8.94 6.539050845098514e-17
487594856 i5Pvalb 0.05299999999999727 3.2695254225500004e-18 1 exc_to_pv.json 8.94 6.168915891604092e-17
488440436 i5Pvalb 0.04999999999999716 3.2695254225500004e-18 1 exc_to_pv.json 8.94 6.539050845100373e-17
515305346 i5Pvalb 0.03700000000000614 3.2695254225500004e-18 1 exc_to_pv.json 8.94 8.836555196079616e-17
313862134 i5Sst 0.09799999999999898 1.757218084128 1 exc_to_sst.json 3.92 17.930796776816514
328015342 i5Sst 0.042999999999992156 1.757218084128 1 exc_to_sst.json 3.92 40.865536840193506
328031983 i5Sst 0.056000000000011596 1.757218084128 1 exc_to_sst.json 3.92 31.378894359422073
329224678 i5Sst 0.05499999999999261 1.757218084128 1 exc_to_sst.json 3.92 31.949419711422475
329254830 i5Sst 0.055999999999997385 1.757218084128 1 exc_to_sst.json 3.92 31.37889435943004
464212183 i5Sst 0.07099999999999795 1.757218084128 1 exc_to_sst.json 3.92 24.74955048067677
473011949 i5Sst 0.03699999999999193 1.757218084128 1 exc_to_sst.json 3.92 47.49238065211847
473593847 i5Sst 0.055999999999997385 1.757218084128 1 exc_to_sst.json 3.92 31.37889435943004
475057898 i5Sst 0.045000000000001705 1.757218084128 1 exc_to_sst.json 3.92 39.04929075839852
475542907 i5Sst 0.04999999999999716 1.757218084128 1 exc_to_sst.json 3.92 35.144361682562
475580568 i5Sst 0.06699999999999307 1.757218084128 1 exc_to_sst.json 3.92 26.227135584002717
482690728 i5Sst 0.07600000000000762 1.757218084128 1 exc_to_sst.json 3.92 23.121290580629264
485058595 i5Sst 0.07099999999999795 1.757218084128 1 exc_to_sst.json 3.92 24.74955048067677
485455285 i5Sst 0.04899999999999238 1.757218084128 1 exc_to_sst.json 3.92 35.86159355363823
486352114 i5Sst 0.08499999999999375 1.757218084128 1 exc_to_sst.json 3.92 20.67315393091917
490173806 i5Sst 0.07299999999999329 1.757218084128 1 exc_to_sst.json 3.92 24.071480604495363
491029832 i5Sst 0.07500000000000284 1.757218084128 1 exc_to_sst.json 3.92 23.429574455039113
491030723 i5Sst 0.04999999999999716 1.757218084128 1 exc_to_sst.json 3.92 35.144361682562
497560724 i5Sst 0.03900000000000148 1.757218084128 1 exc_to_sst.json 3.92 45.05687395199829
501730497 i5Sst 0.05200000000000671 1.757218084128 1 exc_to_sst.json 3.92 33.792655463995644
526785742 i5Sst 0.04899999999999238 1.757218084128 1 exc_to_sst.json 3.92 35.86159355363823
575637715 i5Sst 0.04599999999999227 1.757218084128 1 exc_to_sst.json 3.92 38.20039313322381
