model_id population "Unitary PSP" syn_weight dynamics_params syn_weight_psp
485574832 e5ET 0.05099999999998772 0.345 exc_to_e5et.json 6.764705882354569
485838981 e5ET 0.06199999999999761 0.345 exc_to_e5et.json 5.564516129032472
486111903 e5ET 0.06199999999999761 0.345 exc_to_e5et.json 5.564516129032472
488679042 e5ET 0.05099999999998772 0.345 exc_to_e5et.json 6.764705882354569
488680917 e5ET 0.060000000000002274 0.345 exc_to_e5et.json 5.7499999999997815
488683425 e5ET 0.04999999999999716 0.345 exc_to_e5et.json 6.900000000000392
313861608 i5Pvalb 0.04099999999999682 0.345 exc_to_pv.json 8.414634146342117
318556138 i5Pvalb 0.05200000000000671 0.345 exc_to_pv.json 6.634615384614528
320455763 i5Pvalb 0.042999999999992156 0.345 exc_to_pv.json 8.023255813954952
469801569 i5Pvalb 0.0379999999999967 0.345 exc_to_pv.json 9.07894736842184
478949560 i5Pvalb 0.04999999999999716 0.345 exc_to_pv.json 6.900000000000392
480952106 i5Pvalb 0.04999999999999716 0.345 exc_to_pv.json 6.900000000000392
481093525 i5Pvalb 0.04100000000001103 0.345 exc_to_pv.json 8.4146341463392
484742372 i5Pvalb 0.0519999999999925 0.345 exc_to_pv.json 6.634615384616342
487400838 i5Pvalb 0.05000000000001137 0.345 exc_to_pv.json 6.899999999998431
487594856 i5Pvalb 0.05299999999999727 0.345 exc_to_pv.json 6.5094339622644855
488440436 i5Pvalb 0.04999999999999716 0.345 exc_to_pv.json 6.900000000000392
515305346 i5Pvalb 0.03700000000000614 0.345 exc_to_pv.json 9.324324324322777
313862134 i5Sst 0.09799999999999898 0.345 exc_to_sst.json 3.520408163265343
328015342 i5Sst 0.042999999999992156 0.345 exc_to_sst.json 8.023255813954952
328031983 i5Sst 0.056000000000011596 0.345 exc_to_sst.json 6.160714285713009
329224678 i5Sst 0.05499999999999261 0.345 exc_to_sst.json 6.272727272728115
329254830 i5Sst 0.055999999999997385 0.345 exc_to_sst.json 6.1607142857145725
464212183 i5Sst 0.07099999999999795 0.345 exc_to_sst.json 4.859154929577604
473011949 i5Sst 0.03699999999999193 0.345 exc_to_sst.json 9.324324324326358
473593847 i5Sst 0.055999999999997385 0.345 exc_to_sst.json 6.1607142857145725
475057898 i5Sst 0.045000000000001705 0.345 exc_to_sst.json 7.666666666666376
475542907 i5Sst 0.04999999999999716 0.345 exc_to_sst.json 6.900000000000392
475580568 i5Sst 0.06699999999999307 0.345 exc_to_sst.json 5.1492537313438165
482690728 i5Sst 0.07600000000000762 0.345 exc_to_sst.json 4.539473684210071
485058595 i5Sst 0.07099999999999795 0.345 exc_to_sst.json 4.859154929577604
485455285 i5Sst 0.04899999999999238 0.345 exc_to_sst.json 7.040816326531706
486352114 i5Sst 0.08499999999999375 0.345 exc_to_sst.json 4.058823529412063
490173806 i5Sst 0.07299999999999329 0.345 exc_to_sst.json 4.726027397260708
491029832 i5Sst 0.07500000000000284 0.345 exc_to_sst.json 4.599999999999826
491030723 i5Sst 0.04999999999999716 0.345 exc_to_sst.json 6.900000000000392
497560724 i5Sst 0.03900000000000148 0.345 exc_to_sst.json 8.846153846153511
501730497 i5Sst 0.05200000000000671 0.345 exc_to_sst.json 6.634615384614528
526785742 i5Sst 0.04899999999999238 0.345 exc_to_sst.json 7.040816326531706
575637715 i5Sst 0.04599999999999227 0.345 exc_to_sst.json 7.500000000001259
