,pop_name,peak_freq,FWHM,recurrent,target_angle
0,e5ET,16.0,12.68918881680861,w/o recurrent,0
1,i5Pvalb,20.0,28.148484072117668,w/o recurrent,0
2,i5Sst,16.0,25.655204133544938,w/o recurrent,0
0,e5ET,40.0,32.3663598140913,w/ recurrent,0
1,i5Pvalb,40.0,29.11688909745045,w/ recurrent,0
2,i5Sst,18.0,22.191556110821566,w/ recurrent,0
0,e5ET,18.0,9.556071673425869,w/o recurrent,15
1,i5Pvalb,20.0,27.635317410741735,w/o recurrent,15
2,i5Sst,18.0,24.326542850642074,w/o recurrent,15
0,e5ET,36.0,34.269252023377476,w/ recurrent,15
1,i5Pvalb,36.0,33.49740469902213,w/ recurrent,15
2,i5Sst,24.0,29.700815113553773,w/ recurrent,15
0,e5ET,18.0,8.66992967711651,w/o recurrent,30
1,i5Pvalb,20.0,27.585111835066773,w/o recurrent,30
2,i5Sst,16.0,32.58819827412217,w/o recurrent,30
0,e5ET,36.0,32.21313892920618,w/ recurrent,30
1,i5Pvalb,36.0,32.366100659306426,w/ recurrent,30
2,i5Sst,18.0,38.56857002082028,w/ recurrent,30
0,e5ET,16.0,14.58525931698729,w/o recurrent,45
1,i5Pvalb,20.0,33.63802037945932,w/o recurrent,45
2,i5Sst,16.0,25.759841227323886,w/o recurrent,45
0,e5ET,36.0,15.927538222492952,w/ recurrent,45
1,i5Pvalb,42.0,32.21665729473145,w/ recurrent,45
2,i5Sst,24.0,32.75207168987112,w/ recurrent,45
0,e5ET,16.0,15.260405294681204,w/o recurrent,60
1,i5Pvalb,24.0,34.155403748191695,w/o recurrent,60
2,i5Sst,18.0,26.475814594811958,w/o recurrent,60
0,e5ET,40.0,22.96168244224493,w/ recurrent,60
1,i5Pvalb,40.0,32.99492461375861,w/ recurrent,60
2,i5Sst,18.0,22.67420351539938,w/ recurrent,60
0,e5ET,18.0,14.29686512933888,w/o recurrent,75
1,i5Pvalb,20.0,32.32909866348988,w/o recurrent,75
2,i5Sst,18.0,23.782843575435283,w/o recurrent,75
0,e5ET,36.0,19.902351839139406,w/ recurrent,75
1,i5Pvalb,38.0,32.14550895607733,w/ recurrent,75
2,i5Sst,36.0,37.757204934197134,w/ recurrent,75
0,e5ET,18.0,8.579183358444336,w/o recurrent,90
1,i5Pvalb,20.0,27.33090866925391,w/o recurrent,90
2,i5Sst,18.0,26.085885463310653,w/o recurrent,90
0,e5ET,36.0,33.39057157101832,w/ recurrent,90
1,i5Pvalb,38.0,25.361228737880914,w/ recurrent,90
2,i5Sst,24.0,43.114823105177,w/ recurrent,90
0,e5ET,16.0,13.362750448631317,w/o recurrent,105
1,i5Pvalb,20.0,26.01414743399173,w/o recurrent,105
2,i5Sst,18.0,27.303357787799115,w/o recurrent,105
0,e5ET,36.0,26.772853123721195,w/ recurrent,105
1,i5Pvalb,38.0,27.85880768285154,w/ recurrent,105
2,i5Sst,18.0,15.505020687665947,w/ recurrent,105
0,e5ET,16.0,14.044321752124853,w/o recurrent,120
