edge_type_id target_query source_query weight_function delay model_template dynamics_params
100 node_type_id=='485574832' * weight_function_pss 1.0 static_synapse exc_to_e5et.json
101 node_type_id=='485838981' * weight_function_pss 1.0 static_synapse exc_to_e5et.json
102 node_type_id=='486111903' * weight_function_pss 1.0 static_synapse exc_to_e5et.json
103 node_type_id=='488679042' * weight_function_pss 1.0 static_synapse exc_to_e5et.json
104 node_type_id=='488680917' * weight_function_pss 1.0 static_synapse exc_to_e5et.json
105 node_type_id=='488683425' * weight_function_pss 1.0 static_synapse exc_to_e5et.json
106 node_type_id=='313861608' * weight_function_pss 1.0 static_synapse exc_to_pv.json
107 node_type_id=='318556138' * weight_function_pss 1.0 static_synapse exc_to_pv.json
108 node_type_id=='320455763' * weight_function_pss 1.0 static_synapse exc_to_pv.json
109 node_type_id=='469801569' * weight_function_pss 1.0 static_synapse exc_to_pv.json
110 node_type_id=='478949560' * weight_function_pss 1.0 static_synapse exc_to_pv.json
111 node_type_id=='480952106' * weight_function_pss 1.0 static_synapse exc_to_pv.json
112 node_type_id=='481093525' * weight_function_pss 1.0 static_synapse exc_to_pv.json
113 node_type_id=='484742372' * weight_function_pss 1.0 static_synapse exc_to_pv.json
114 node_type_id=='487400838' * weight_function_pss 1.0 static_synapse exc_to_pv.json
115 node_type_id=='487594856' * weight_function_pss 1.0 static_synapse exc_to_pv.json
116 node_type_id=='488440436' * weight_function_pss 1.0 static_synapse exc_to_pv.json
117 node_type_id=='515305346' * weight_function_pss 1.0 static_synapse exc_to_pv.json
118 node_type_id=='313862134' * weight_function_pss 1.0 static_synapse exc_to_sst.json
119 node_type_id=='328015342' * weight_function_pss 1.0 static_synapse exc_to_sst.json
120 node_type_id=='328031983' * weight_function_pss 1.0 static_synapse exc_to_sst.json
121 node_type_id=='329224678' * weight_function_pss 1.0 static_synapse exc_to_sst.json
122 node_type_id=='329254830' * weight_function_pss 1.0 static_synapse exc_to_sst.json
123 node_type_id=='464212183' * weight_function_pss 1.0 static_synapse exc_to_sst.json
124 node_type_id=='473011949' * weight_function_pss 1.0 static_synapse exc_to_sst.json
125 node_type_id=='473593847' * weight_function_pss 1.0 static_synapse exc_to_sst.json
126 node_type_id=='475057898' * weight_function_pss 1.0 static_synapse exc_to_sst.json
127 node_type_id=='475542907' * weight_function_pss 1.0 static_synapse exc_to_sst.json
128 node_type_id=='475580568' * weight_function_pss 1.0 static_synapse exc_to_sst.json
129 node_type_id=='482690728' * weight_function_pss 1.0 static_synapse exc_to_sst.json
130 node_type_id=='485058595' * weight_function_pss 1.0 static_synapse exc_to_sst.json
131 node_type_id=='485455285' * weight_function_pss 1.0 static_synapse exc_to_sst.json
132 node_type_id=='486352114' * weight_function_pss 1.0 static_synapse exc_to_sst.json
133 node_type_id=='490173806' * weight_function_pss 1.0 static_synapse exc_to_sst.json
134 node_type_id=='491029832' * weight_function_pss 1.0 static_synapse exc_to_sst.json
135 node_type_id=='491030723' * weight_function_pss 1.0 static_synapse exc_to_sst.json
136 node_type_id=='497560724' * weight_function_pss 1.0 static_synapse exc_to_sst.json
137 node_type_id=='501730497' * weight_function_pss 1.0 static_synapse exc_to_sst.json
138 node_type_id=='526785742' * weight_function_pss 1.0 static_synapse exc_to_sst.json
139 node_type_id=='575637715' * weight_function_pss 1.0 static_synapse exc_to_sst.json
