edge_type_id target_query source_query delay weight_function dynamics_params model_template syn_weight
100 node_type_id=='485574832' * 1.0 weight_function_bkg exc_to_e5et.json static_synapse 14.03515625
101 node_type_id=='485838981' * 1.0 weight_function_bkg exc_to_e5et.json static_synapse 11.61328125
102 node_type_id=='486111903' * 1.0 weight_function_bkg exc_to_e5et.json static_synapse 15.33203125
103 node_type_id=='488679042' * 1.0 weight_function_bkg exc_to_e5et.json static_synapse 13.4970703125
104 node_type_id=='488680917' * 1.0 weight_function_bkg exc_to_e5et.json static_synapse 10.67578125
105 node_type_id=='488683425' * 1.0 weight_function_bkg exc_to_e5et.json static_synapse 8.6220703125
106 node_type_id=='313861608' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 42.125
107 node_type_id=='318556138' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 17.25
108 node_type_id=='320455763' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 23.3125
109 node_type_id=='469801569' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 40.5
110 node_type_id=='478949560' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 25.1875
111 node_type_id=='480952106' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 26.5
112 node_type_id=='481093525' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 44.25
113 node_type_id=='484742372' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 28.0
114 node_type_id=='487400838' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 22.125
115 node_type_id=='487594856' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 28.125
116 node_type_id=='488440436' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 24.0
117 node_type_id=='515305346' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 30.125
118 node_type_id=='313862134' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 11.375
119 node_type_id=='328015342' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 15.9375
120 node_type_id=='328031983' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 13.375
121 node_type_id=='329224678' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 24.0625
122 node_type_id=='329254830' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 22.3125
123 node_type_id=='464212183' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 12.21875
124 node_type_id=='473011949' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 23.375
125 node_type_id=='473593847' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 21.1875
126 node_type_id=='475057898' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 13.46875
127 node_type_id=='475542907' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 23.21875
128 node_type_id=='475580568' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 13.625
129 node_type_id=='482690728' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 10.15625
130 node_type_id=='485058595' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 9.6875
131 node_type_id=='485455285' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 30.75
132 node_type_id=='486352114' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 13.625
133 node_type_id=='490173806' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 15.5
134 node_type_id=='491029832' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 15.0
135 node_type_id=='491030723' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 18.25
136 node_type_id=='497560724' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 33.5
137 node_type_id=='501730497' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 10.40625
138 node_type_id=='526785742' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 20.0625
139 node_type_id=='575637715' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 23.3125
