node_type_id model_template nsyn_size_scale dynamics_params nsyn_size_shape model_type ei pop_name nsyn_size_mean location population
485574832 nest:glif_psc_double_alpha 7406.546 485574832_glif_lif_asc_config.json 0.424 point_process e e5ET 8103 VisL5 v1
485838981 nest:glif_psc_double_alpha 7406.546 485838981_glif_lif_asc_config.json 0.424 point_process e e5ET 8103 VisL5 v1
486111903 nest:glif_psc_double_alpha 7406.546 486111903_glif_lif_asc_config.json 0.424 point_process e e5ET 8103 VisL5 v1
488679042 nest:glif_psc_double_alpha 7406.546 488679042_glif_lif_asc_config.json 0.424 point_process e e5ET 8103 VisL5 v1
488680917 nest:glif_psc_double_alpha 7406.546 488680917_glif_lif_asc_config.json 0.424 point_process e e5ET 8103 VisL5 v1
488683425 nest:glif_psc_double_alpha 7406.546 488683425_glif_lif_asc_config.json 0.424 point_process e e5ET 8103 VisL5 v1
313861608 nest:glif_psc_double_alpha 7432.587 313861608_glif_lif_asc_config.json 0.433 point_process i i5Pvalb 8163 VisL5 v1
318556138 nest:glif_psc_double_alpha 7432.587 318556138_glif_lif_asc_config.json 0.433 point_process i i5Pvalb 8163 VisL5 v1
320455763 nest:glif_psc_double_alpha 7432.587 320455763_glif_lif_asc_config.json 0.433 point_process i i5Pvalb 8163 VisL5 v1
469801569 nest:glif_psc_double_alpha 7432.587 469801569_glif_lif_asc_config.json 0.433 point_process i i5Pvalb 8163 VisL5 v1
478949560 nest:glif_psc_double_alpha 7432.587 478949560_glif_lif_asc_config.json 0.433 point_process i i5Pvalb 8163 VisL5 v1
480952106 nest:glif_psc_double_alpha 7432.587 480952106_glif_lif_asc_config.json 0.433 point_process i i5Pvalb 8163 VisL5 v1
481093525 nest:glif_psc_double_alpha 7432.587 481093525_glif_lif_asc_config.json 0.433 point_process i i5Pvalb 8163 VisL5 v1
484742372 nest:glif_psc_double_alpha 7432.587 484742372_glif_lif_asc_config.json 0.433 point_process i i5Pvalb 8163 VisL5 v1
487400838 nest:glif_psc_double_alpha 7432.587 487400838_glif_lif_asc_config.json 0.433 point_process i i5Pvalb 8163 VisL5 v1
487594856 nest:glif_psc_double_alpha 7432.587 487594856_glif_lif_asc_config.json 0.433 point_process i i5Pvalb 8163 VisL5 v1
488440436 nest:glif_psc_double_alpha 7432.587 488440436_glif_lif_asc_config.json 0.433 point_process i i5Pvalb 8163 VisL5 v1
515305346 nest:glif_psc_double_alpha 7432.587 515305346_glif_lif_asc_config.json 0.433 point_process i i5Pvalb 8163 VisL5 v1
313862134 nest:glif_psc_double_alpha 5305.151 313862134_glif_lif_asc_config.json 0.55 point_process i i5Sst 6171 VisL5 v1
328015342 nest:glif_psc_double_alpha 5305.151 328015342_glif_lif_asc_config.json 0.55 point_process i i5Sst 6171 VisL5 v1
328031983 nest:glif_psc_double_alpha 5305.151 328031983_glif_lif_asc_config.json 0.55 point_process i i5Sst 6171 VisL5 v1
329224678 nest:glif_psc_double_alpha 5305.151 329224678_glif_lif_asc_config.json 0.55 point_process i i5Sst 6171 VisL5 v1
329254830 nest:glif_psc_double_alpha 5305.151 329254830_glif_lif_asc_config.json 0.55 point_process i i5Sst 6171 VisL5 v1
464212183 nest:glif_psc_double_alpha 5305.151 464212183_glif_lif_asc_config.json 0.55 point_process i i5Sst 6171 VisL5 v1
473011949 nest:glif_psc_double_alpha 5305.151 473011949_glif_lif_asc_config.json 0.55 point_process i i5Sst 6171 VisL5 v1
473593847 nest:glif_psc_double_alpha 5305.151 473593847_glif_lif_asc_config.json 0.55 point_process i i5Sst 6171 VisL5 v1
475057898 nest:glif_psc_double_alpha 5305.151 475057898_glif_lif_asc_config.json 0.55 point_process i i5Sst 6171 VisL5 v1
475542907 nest:glif_psc_double_alpha 5305.151 475542907_glif_lif_asc_config.json 0.55 point_process i i5Sst 6171 VisL5 v1
475580568 nest:glif_psc_double_alpha 5305.151 475580568_glif_lif_asc_config.json 0.55 point_process i i5Sst 6171 VisL5 v1
482690728 nest:glif_psc_double_alpha 5305.151 482690728_glif_lif_asc_config.json 0.55 point_process i i5Sst 6171 VisL5 v1
485058595 nest:glif_psc_double_alpha 5305.151 485058595_glif_lif_asc_config.json 0.55 point_process i i5Sst 6171 VisL5 v1
485455285 nest:glif_psc_double_alpha 5305.151 485455285_glif_lif_asc_config.json 0.55 point_process i i5Sst 6171 VisL5 v1
486352114 nest:glif_psc_double_alpha 5305.151 486352114_glif_lif_asc_config.json 0.55 point_process i i5Sst 6171 VisL5 v1
490173806 nest:glif_psc_double_alpha 5305.151 490173806_glif_lif_asc_config.json 0.55 point_process i i5Sst 6171 VisL5 v1
491029832 nest:glif_psc_double_alpha 5305.151 491029832_glif_lif_asc_config.json 0.55 point_process i i5Sst 6171 VisL5 v1
491030723 nest:glif_psc_double_alpha 5305.151 491030723_glif_lif_asc_config.json 0.55 point_process i i5Sst 6171 VisL5 v1
497560724 nest:glif_psc_double_alpha 5305.151 497560724_glif_lif_asc_config.json 0.55 point_process i i5Sst 6171 VisL5 v1
501730497 nest:glif_psc_double_alpha 5305.151 501730497_glif_lif_asc_config.json 0.55 point_process i i5Sst 6171 VisL5 v1
526785742 nest:glif_psc_double_alpha 5305.151 526785742_glif_lif_asc_config.json 0.55 point_process i i5Sst 6171 VisL5 v1
575637715 nest:glif_psc_double_alpha 5305.151 575637715_glif_lif_asc_config.json 0.55 point_process i i5Sst 6171 VisL5 v1
