,pop_name,peak_freq,FWHM,recurrent,target_angle
0,e5ET,18.0,19.83337493712197,w/o recurrent,0
1,i5Pvalb,20.0,36.58069023305222,w/o recurrent,0
2,i5Sst,18.0,33.11747221449416,w/o recurrent,0
0,e5ET,10.0,6.788002387424146,w/ recurrent,0
1,i5Pvalb,32.0,69.81581222877097,w/ recurrent,0
2,i5Sst,16.0,19.86471821604236,w/ recurrent,0
0,e5ET,16.0,15.012260825695993,w/o recurrent,15
1,i5Pvalb,28.0,36.12598301205131,w/o recurrent,15
2,i5Sst,16.0,34.879323239411264,w/o recurrent,15
0,e5ET,10.0,5.846277146482398,w/ recurrent,15
1,i5Pvalb,82.0,82.29199804592947,w/ recurrent,15
2,i5Sst,16.0,20.549248631403557,w/ recurrent,15
0,e5ET,16.0,12.824961864055584,w/o recurrent,30
1,i5Pvalb,24.0,36.25956586452915,w/o recurrent,30
2,i5Sst,16.0,26.53777632684105,w/o recurrent,30
0,e5ET,10.0,5.63510815429853,w/ recurrent,30
1,i5Pvalb,32.0,27.087089956813077,w/ recurrent,30
2,i5Sst,8.0,28.03367311992887,w/ recurrent,30
0,e5ET,16.0,12.091368959145061,w/o recurrent,45
1,i5Pvalb,28.0,37.301803797991994,w/o recurrent,45
2,i5Sst,18.0,27.634818845511266,w/o recurrent,45
0,e5ET,10.0,5.765014195203645,w/ recurrent,45
1,i5Pvalb,50.0,26.869159949805987,w/ recurrent,45
2,i5Sst,8.0,21.60136431932497,w/ recurrent,45
0,e5ET,18.0,12.858216466609015,w/o recurrent,60
1,i5Pvalb,38.0,40.53039685870348,w/o recurrent,60
2,i5Sst,18.0,35.076183378900396,w/o recurrent,60
0,e5ET,10.0,6.300337600061759,w/ recurrent,60
1,i5Pvalb,38.0,24.82429831032134,w/ recurrent,60
2,i5Sst,10.0,20.49492484340138,w/ recurrent,60
0,e5ET,16.0,16.041364193777078,w/o recurrent,75
1,i5Pvalb,24.0,39.718205783636876,w/o recurrent,75
2,i5Sst,18.0,22.20985038637538,w/o recurrent,75
0,e5ET,12.0,7.458083916926978,w/ recurrent,75
1,i5Pvalb,50.0,24.457595975787886,w/ recurrent,75
2,i5Sst,18.0,21.085016810438013,w/ recurrent,75
0,e5ET,16.0,17.60604346757752,w/o recurrent,90
1,i5Pvalb,24.0,38.86528765637316,w/o recurrent,90
2,i5Sst,18.0,22.054895522112822,w/o recurrent,90
0,e5ET,10.0,10.09981700513249,w/ recurrent,90
1,i5Pvalb,50.0,30.75893189194465,w/ recurrent,90
2,i5Sst,18.0,22.50081988194781,w/ recurrent,90
0,e5ET,16.0,16.52288850391117,w/o recurrent,105
1,i5Pvalb,24.0,39.00927793621856,w/o recurrent,105
2,i5Sst,18.0,25.275930207724585,w/o recurrent,105
0,e5ET,10.0,9.665771056121681,w/ recurrent,105
1,i5Pvalb,50.0,45.39234451428831,w/ recurrent,105
2,i5Sst,18.0,21.72787635809754,w/ recurrent,105
0,e5ET,16.0,15.41823041109516,w/o recurrent,120
1,i5Pvalb,28.0,40.021357727153514,w/o recurrent,120
2,i5Sst,18.0,21.14982896772496,w/o recurrent,120
0,e5ET,10.0,8.292696454112942,w/ recurrent,120
1,i5Pvalb,40.0,27.623581510055384,w/ recurrent,120
2,i5Sst,18.0,21.190262768209386,w/ recurrent,120
0,e5ET,16.0,16.055802326069323,w/o recurrent,135
1,i5Pvalb,24.0,37.75575124039956,w/o recurrent,135
2,i5Sst,18.0,30.36522746006461,w/o recurrent,135
0,e5ET,12.0,10.477275165258531,w/ recurrent,135
1,i5Pvalb,40.0,19.369941807249383,w/ recurrent,135
2,i5Sst,16.0,15.243253172890658,w/ recurrent,135
0,e5ET,18.0,17.415939383140557,w/o recurrent,150
1,i5Pvalb,28.0,34.16573881069978,w/o recurrent,150
2,i5Sst,18.0,21.394875926940692,w/o recurrent,150
0,e5ET,10.0,8.363022662634123,w/ recurrent,150
1,i5Pvalb,50.0,26.255818753855703,w/ recurrent,150
2,i5Sst,16.0,31.286951580893604,w/ recurrent,150
0,e5ET,16.0,13.23917133092407,w/o recurrent,165
1,i5Pvalb,28.0,47.822553218481346,w/o recurrent,165
2,i5Sst,8.0,31.81396964098102,w/o recurrent,165
0,e5ET,10.0,10.676988926407777,w/ recurrent,165
1,i5Pvalb,72.0,17.485065025025065,w/ recurrent,165
2,i5Sst,14.0,22.59693195900981,w/ recurrent,165
0,e5ET,16.0,14.144610303948388,w/o recurrent,180
1,i5Pvalb,20.0,37.542390339606854,w/o recurrent,180
2,i5Sst,8.0,31.768755062561617,w/o recurrent,180
0,e5ET,10.0,9.47827838934831,w/ recurrent,180
1,i5Pvalb,50.0,27.82224557652444,w/ recurrent,180
2,i5Sst,8.0,23.626154266875712,w/ recurrent,180
0,e5ET,18.0,17.71806562766746,w/o recurrent,195
1,i5Pvalb,20.0,37.03625208350376,w/o recurrent,195
2,i5Sst,18.0,35.151389328077016,w/o recurrent,195
0,e5ET,10.0,9.169301310281917,w/ recurrent,195
1,i5Pvalb,50.0,51.98398491578556,w/ recurrent,195
2,i5Sst,18.0,22.566692875494855,w/ recurrent,195
0,e5ET,18.0,13.329815063509411,w/o recurrent,210
1,i5Pvalb,28.0,32.82004541224689,w/o recurrent,210
2,i5Sst,18.0,30.96871668727673,w/o recurrent,210
0,e5ET,10.0,8.647460061864916,w/ recurrent,210
1,i5Pvalb,50.0,32.46792911676246,w/ recurrent,210
2,i5Sst,8.0,19.501628884965285,w/ recurrent,210
0,e5ET,16.0,13.431299648443563,w/o recurrent,225
1,i5Pvalb,28.0,33.67366867957626,w/o recurrent,225
2,i5Sst,18.0,27.53532434925908,w/o recurrent,225
0,e5ET,10.0,7.965396882320522,w/ recurrent,225
1,i5Pvalb,72.0,20.78193683855892,w/ recurrent,225
