,pop_name,s,params,target_angle,recurrent,binsize
0,e5ET,60.19364471990743,[0.56850796 8.94218662 0.47082361],0,w/o recurrent,10
1,i5Pvalb,57.64690351948251,[0.34823829 9.74974016 0.67161385],0,w/o recurrent,10
2,i5Sst,54.33852491942404,[ 0.72045722 10.97309958  0.28550277],0,w/o recurrent,10
0,e5ET,54.930522061999575,[ 0.59246619 10.73785554  0.43149363],0,w/ recurrent,10
1,i5Pvalb,63.416922229116295,[0.39609001 8.05628253 0.59384502],0,w/ recurrent,10
2,i5Sst,53.39400204623664,[ 0.77245825 11.36475461  0.22076681],0,w/ recurrent,10
0,e5ET,61.42656409107132,[0.54383038 8.58682403 0.44632054],15,w/o recurrent,10
1,i5Pvalb,56.10856736476321,[ 0.33690089 10.29168892  0.65587201],15,w/o recurrent,10
2,i5Sst,56.98065727153885,[0.76887235 9.97907074 0.30226762],15,w/o recurrent,10
0,e5ET,57.21196730078809,[0.55761141 9.89854238 0.40068339],15,w/ recurrent,10
1,i5Pvalb,61.177683374234846,[0.36630028 8.65683132 0.58663797],15,w/ recurrent,10
2,i5Sst,55.96531372022084,[ 0.82246908 10.34444334  0.22399017],15,w/ recurrent,10
0,e5ET,62.59993874817536,[0.566477   8.26793767 0.46031781],30,w/o recurrent,10
1,i5Pvalb,57.408872192209216,[0.35549456 9.83075742 0.67115942],30,w/o recurrent,10
2,i5Sst,55.78561804891001,[ 0.75263477 10.41119336  0.2955711 ],30,w/o recurrent,10
0,e5ET,58.92731594889766,[0.601792   9.33064551 0.41842666],30,w/ recurrent,10
1,i5Pvalb,58.07732762920332,[0.40995277 9.60576065 0.63456751],30,w/ recurrent,10
2,i5Sst,56.671768021092355,[ 0.81468795 10.08814897  0.21977833],30,w/ recurrent,10
0,e5ET,63.86091580412051,[0.55295375 7.9446492  0.44143877],45,w/o recurrent,10
1,i5Pvalb,56.515539616623485,[ 0.34416122 10.14400029  0.664505  ],45,w/o recurrent,10
2,i5Sst,57.23974545852409,[0.76563456 9.88893728 0.31149245],45,w/o recurrent,10
0,e5ET,62.824535262306966,[0.62228397 8.20892789 0.41427898],45,w/ recurrent,10
1,i5Pvalb,57.43857746643535,[0.37897707 9.82059179 0.61506749],45,w/ recurrent,10
2,i5Sst,57.24964684625844,[0.86522594 9.88551698 0.24423874],45,w/ recurrent,10
0,e5ET,65.48742569344667,[0.57939046 7.55490787 0.44950151],60,w/o recurrent,10
1,i5Pvalb,58.684467968966686,[0.33926149 9.40802942 0.64020828],60,w/o recurrent,10
2,i5Sst,55.42122454315798,[ 0.6693053  10.54855024  0.27870978],60,w/o recurrent,10
0,e5ET,65.45844841677955,[0.65959407 7.5615982  0.38118572],60,w/ recurrent,10
1,i5Pvalb,47.625333316730085,[ 0.43533015 14.28462862  0.65006834],60,w/ recurrent,10
2,i5Sst,56.11502300117017,[ 0.7324029  10.28932108  0.21896579],60,w/ recurrent,10
0,e5ET,64.79580745645109,[0.5734562  7.71704793 0.44982354],75,w/o recurrent,10
1,i5Pvalb,61.90250921612432,[0.3489697  8.45528991 0.65211357],75,w/o recurrent,10
2,i5Sst,55.49079870048464,[ 0.72103998 10.52211535  0.32892907],75,w/o recurrent,10
0,e5ET,67.05298295708633,[0.65388349 7.20624137 0.36659945],75,w/ recurrent,10
1,i5Pvalb,46.775273730348275,[ 0.41778607 14.80854314  0.58241506],75,w/ recurrent,10
2,i5Sst,55.57786380763158,[ 0.75361995 10.48917448  0.24548011],75,w/ recurrent,10
0,e5ET,63.29091802882886,[0.5377012  8.08839254 0.4282051 ],90,w/o recurrent,10
1,i5Pvalb,62.39700828954662,[0.34437706 8.32180386 0.64863545],90,w/o recurrent,10
2,i5Sst,57.203614279457895,[0.78669638 9.90143341 0.34574926],90,w/o recurrent,10
0,e5ET,64.31204820357163,[0.62607412 7.83358081 0.34839275],90,w/ recurrent,10
1,i5Pvalb,38.83441976771528,[ 0.4657243  21.48381326  0.62184839],90,w/ recurrent,10
2,i5Sst,56.86692861476318,[ 0.84859198 10.01902511  0.27110347],90,w/ recurrent,10
0,e5ET,62.345229343411404,[0.55220577 8.33563245 0.44283415],105,w/o recurrent,10
1,i5Pvalb,64.04109044801211,[0.36129077 7.90000878 0.66379902],105,w/o recurrent,10
2,i5Sst,60.490901549223366,[0.66332566 8.8545174  0.287701  ],105,w/o recurrent,10
0,e5ET,62.21571260533346,[0.64342291 8.37037375 0.35632371],105,w/ recurrent,10
1,i5Pvalb,43.17605464826607,[ 0.41963239 17.38037332  0.55543583],105,w/ recurrent,10
2,i5Sst,60.65470052988019,[0.70005278 8.80675845 0.21879998],105,w/ recurrent,10
0,e5ET,62.083164228512416,[0.55963736 8.40615363 0.4464618 ],120,w/o recurrent,10
1,i5Pvalb,62.957436790635725,[0.36927735 8.1743068  0.69429776],120,w/o recurrent,10
2,i5Sst,61.782489556395156,[0.77859407 8.48817259 0.32858406],120,w/o recurrent,10
0,e5ET,60.155871653412014,[0.63015792 8.95342009 0.35750838],120,w/ recurrent,10
1,i5Pvalb,55.4304267649254,[ 0.52245761 10.54504811  0.6893496 ],120,w/ recurrent,10
2,i5Sst,59.667874706707416,[0.85542646 9.10047104 0.27476638],120,w/ recurrent,10
0,e5ET,61.111534479565535,[0.5732754  8.67558227 0.45702185],135,w/o recurrent,10
1,i5Pvalb,60.82495850760952,[0.32344973 8.75752463 0.60936961],135,w/o recurrent,10
2,i5Sst,59.84192217573884,[0.75496221 9.04761142 0.33537181],135,w/o recurrent,10
0,e5ET,56.41196767388094,[ 0.64549328 10.1812831   0.37942623],135,w/ recurrent,10
1,i5Pvalb,57.44203042167947,[0.45140902 9.81941115 0.588859  ],135,w/ recurrent,10
2,i5Sst,57.82616340414394,[0.80064416 9.68938588 0.27871552],135,w/ recurrent,10
0,e5ET,61.20519088563906,[0.58243187 8.64905177 0.46636699],150,w/o recurrent,10
1,i5Pvalb,58.46922323465036,[0.34838525 9.47742512 0.67606955],150,w/o recurrent,10
2,i5Sst,59.63760404089239,[0.70183999 9.10971176 0.31252137],150,w/o recurrent,10
0,e5ET,56.763693016005334,[ 0.68287197 10.05550126  0.4042315 ],150,w/ recurrent,10
1,i5Pvalb,63.25387277421921,[0.47550274 8.09786941 0.58420122],150,w/ recurrent,10
2,i5Sst,55.0025852986501,[ 0.74907813 10.70973695  0.26960808],150,w/ recurrent,10
