,pop_name,peak_freq,FWHM,recurrent,target_angle
0,e5ET,16.0,14.123111021229466,w/o recurrent,0
1,i5Pvalb,20.0,35.0435807901696,w/o recurrent,0
2,i5Sst,18.0,25.178715368542036,w/o recurrent,0
0,e5ET,24.0,39.40759927949965,w/ recurrent,0
1,i5Pvalb,40.0,32.487166828516095,w/ recurrent,0
2,i5Sst,20.0,17.9294580000995,w/ recurrent,0
0,e5ET,18.0,12.950518805768528,w/o recurrent,15
1,i5Pvalb,20.0,34.56393982459309,w/o recurrent,15
2,i5Sst,16.0,27.546241755772616,w/o recurrent,15
0,e5ET,24.0,30.13365760549663,w/ recurrent,15
1,i5Pvalb,36.0,40.26817364409996,w/ recurrent,15
2,i5Sst,24.0,29.756834294029133,w/ recurrent,15
0,e5ET,18.0,12.637008049984992,w/o recurrent,30
1,i5Pvalb,20.0,38.84776750416653,w/o recurrent,30
2,i5Sst,16.0,25.46266360650022,w/o recurrent,30
0,e5ET,24.0,33.33555228992254,w/ recurrent,30
1,i5Pvalb,42.0,35.91786794188384,w/ recurrent,30
2,i5Sst,16.0,26.49912511417727,w/ recurrent,30
0,e5ET,16.0,13.629425325811962,w/o recurrent,45
1,i5Pvalb,20.0,29.47493457018319,w/o recurrent,45
2,i5Sst,16.0,35.05891801523481,w/o recurrent,45
0,e5ET,24.0,14.393545572493112,w/ recurrent,45
1,i5Pvalb,40.0,34.866722539245714,w/ recurrent,45
2,i5Sst,18.0,39.29589902751368,w/ recurrent,45
0,e5ET,18.0,14.693912334816348,w/o recurrent,60
1,i5Pvalb,20.0,44.72295051374901,w/o recurrent,60
2,i5Sst,18.0,23.921717031429978,w/o recurrent,60
0,e5ET,24.0,33.64396683575,w/ recurrent,60
1,i5Pvalb,42.0,68.3777171015408,w/ recurrent,60
2,i5Sst,16.0,35.146188016927205,w/ recurrent,60
0,e5ET,18.0,9.528144396476122,w/o recurrent,75
1,i5Pvalb,20.0,39.84423794548213,w/o recurrent,75
2,i5Sst,24.0,39.68403468098672,w/o recurrent,75
0,e5ET,24.0,34.829203828758835,w/ recurrent,75
1,i5Pvalb,38.0,32.97663272359913,w/ recurrent,75
2,i5Sst,18.0,17.617024932695752,w/ recurrent,75
0,e5ET,16.0,14.03629133600081,w/o recurrent,90
1,i5Pvalb,20.0,33.61005908058612,w/o recurrent,90
2,i5Sst,18.0,34.92335484851783,w/o recurrent,90
0,e5ET,24.0,31.745494965897237,w/ recurrent,90
1,i5Pvalb,30.0,43.8705307621718,w/ recurrent,90
2,i5Sst,18.0,29.665177782698798,w/ recurrent,90
0,e5ET,18.0,13.05286484498255,w/o recurrent,105
1,i5Pvalb,20.0,35.184222476345674,w/o recurrent,105
2,i5Sst,18.0,26.035727984027915,w/o recurrent,105
0,e5ET,24.0,28.268435944160412,w/ recurrent,105
1,i5Pvalb,44.0,33.81430707573143,w/ recurrent,105
2,i5Sst,20.0,15.691169049023841,w/ recurrent,105
0,e5ET,16.0,15.999054664052432,w/o recurrent,120
1,i5Pvalb,20.0,29.404894307559545,w/o recurrent,120
2,i5Sst,18.0,22.56338697490377,w/o recurrent,120
0,e5ET,18.0,31.610499919825973,w/ recurrent,120
1,i5Pvalb,40.0,43.76494118608467,w/ recurrent,120
2,i5Sst,18.0,11.012779253259943,w/ recurrent,120
0,e5ET,16.0,13.999200292291375,w/o recurrent,135
1,i5Pvalb,20.0,28.332143795206797,w/o recurrent,135
2,i5Sst,16.0,19.584267379784535,w/o recurrent,135
0,e5ET,18.0,26.86064424718637,w/ recurrent,135
1,i5Pvalb,32.0,28.12277079600922,w/ recurrent,135
2,i5Sst,18.0,24.769302218494815,w/ recurrent,135
0,e5ET,16.0,15.91194732294023,w/o recurrent,150
1,i5Pvalb,20.0,32.35264720649974,w/o recurrent,150
2,i5Sst,18.0,22.91642648776672,w/o recurrent,150
0,e5ET,18.0,15.596257041896385,w/ recurrent,150
1,i5Pvalb,32.0,31.28811408256384,w/ recurrent,150
2,i5Sst,18.0,38.88215527349785,w/ recurrent,150
0,e5ET,16.0,17.137328891257816,w/o recurrent,165
1,i5Pvalb,20.0,37.62076227978996,w/o recurrent,165
2,i5Sst,16.0,22.860545997432453,w/o recurrent,165
0,e5ET,18.0,33.32018147270302,w/ recurrent,165
1,i5Pvalb,38.0,36.42712991619551,w/ recurrent,165
2,i5Sst,18.0,27.672762008978772,w/ recurrent,165
0,e5ET,16.0,10.324970921086253,w/o recurrent,180
1,i5Pvalb,20.0,37.08045199280292,w/o recurrent,180
2,i5Sst,16.0,31.236547300359888,w/o recurrent,180
0,e5ET,36.0,37.95747976943366,w/ recurrent,180
1,i5Pvalb,40.0,24.926298035274705,w/ recurrent,180
2,i5Sst,18.0,38.093321293110385,w/ recurrent,180
0,e5ET,18.0,9.65361762339936,w/o recurrent,195
1,i5Pvalb,20.0,37.80889803971175,w/o recurrent,195
2,i5Sst,8.0,35.4581593655698,w/o recurrent,195
0,e5ET,18.0,14.197247438544434,w/ recurrent,195
1,i5Pvalb,40.0,34.28839567980184,w/ recurrent,195
2,i5Sst,18.0,19.866932504409647,w/ recurrent,195
0,e5ET,18.0,15.065009203819727,w/o recurrent,210
1,i5Pvalb,24.0,37.75350050483821,w/o recurrent,210
2,i5Sst,18.0,35.49841062731517,w/o recurrent,210
0,e5ET,24.0,30.36054679108863,w/ recurrent,210
1,i5Pvalb,40.0,28.32954448713525,w/ recurrent,210
2,i5Sst,18.0,28.757270217114428,w/ recurrent,210
0,e5ET,16.0,14.61578300483877,w/o recurrent,225
1,i5Pvalb,20.0,33.503736080251684,w/o recurrent,225
2,i5Sst,16.0,21.57698784516866,w/o recurrent,225
0,e5ET,24.0,30.252223104792556,w/ recurrent,225
1,i5Pvalb,32.0,39.3252892303707,w/ recurrent,225
2,i5Sst,24.0,29.532477457374494,w/ recurrent,225
0,e5ET,18.0,8.831951385327503,w/o recurrent,240
1,i5Pvalb,20.0,37.07234277883224,w/o recurrent,240
2,i5Sst,16.0,21.881632047400686,w/o recurrent,240
0,e5ET,24.0,33.07850965428131,w/ recurrent,240
1,i5Pvalb,34.0,33.665733872139576,w/ recurrent,240
2,i5Sst,18.0,19.52787469454254,w/ recurrent,240
0,e5ET,18.0,9.765196782549145,w/o recurrent,255
1,i5Pvalb,20.0,36.29638341821386,w/o recurrent,255
2,i5Sst,16.0,20.832694689048004,w/o recurrent,255
0,e5ET,24.0,35.49870568270567,w/ recurrent,255
1,i5Pvalb,36.0,34.68076192927816,w/ recurrent,255
2,i5Sst,16.0,20.441262969026113,w/ recurrent,255
0,e5ET,18.0,9.465092113410796,w/o recurrent,270
1,i5Pvalb,28.0,36.870126175494924,w/o recurrent,270
2,i5Sst,18.0,26.161103055599575,w/o recurrent,270
0,e5ET,26.0,35.96353842800248,w/ recurrent,270
1,i5Pvalb,42.0,29.720754687515225,w/ recurrent,270
2,i5Sst,16.0,18.452934154847945,w/ recurrent,270
0,e5ET,16.0,13.77397075259412,w/o recurrent,285
1,i5Pvalb,28.0,38.75305809940654,w/o recurrent,285
2,i5Sst,18.0,21.324683170837165,w/o recurrent,285
0,e5ET,24.0,34.96555883893844,w/ recurrent,285
1,i5Pvalb,42.0,35.86593223620578,w/ recurrent,285
2,i5Sst,18.0,30.427863874078476,w/ recurrent,285
0,e5ET,18.0,15.956392230167364,w/o recurrent,300
1,i5Pvalb,20.0,37.81656256641284,w/o recurrent,300
2,i5Sst,16.0,31.788563292827384,w/o recurrent,300
0,e5ET,36.0,30.13826766598128,w/ recurrent,300
1,i5Pvalb,42.0,40.18990414554003,w/ recurrent,300
2,i5Sst,16.0,27.25528491844548,w/ recurrent,300
0,e5ET,18.0,13.565457228062733,w/o recurrent,315
1,i5Pvalb,20.0,37.829222166966304,w/o recurrent,315
2,i5Sst,18.0,26.22163524212085,w/o recurrent,315
0,e5ET,28.0,40.000864195396346,w/ recurrent,315
1,i5Pvalb,40.0,42.67576074925511,w/ recurrent,315
2,i5Sst,16.0,19.61379978421847,w/ recurrent,315
0,e5ET,16.0,15.066986715589271,w/o recurrent,330
1,i5Pvalb,20.0,40.01104184425998,w/o recurrent,330
2,i5Sst,16.0,27.286231602655725,w/o recurrent,330
0,e5ET,36.0,33.299247839784016,w/ recurrent,330
1,i5Pvalb,42.0,40.0745412701166,w/ recurrent,330
2,i5Sst,24.0,26.797227706260227,w/ recurrent,330
0,e5ET,18.0,12.883348472024869,w/o recurrent,345
1,i5Pvalb,20.0,39.96993037502362,w/o recurrent,345
2,i5Sst,16.0,26.645226412268055,w/o recurrent,345
0,e5ET,20.0,34.3669425686024,w/ recurrent,345
1,i5Pvalb,38.0,39.51465749120902,w/ recurrent,345
2,i5Sst,18.0,20.26006681421073,w/ recurrent,345
