,pop_name,s,params,target_angle,recurrent,binsize
0,e5ET,59.3787130084451,[0.50267474 9.18932157 0.53326576],0,w/o recurrent,10
1,i5Pvalb,56.7699075077966,[ 0.39301264 10.05329987  0.6167495 ],0,w/o recurrent,10
2,i5Sst,54.27595657695072,[ 0.74276641 10.99841335  0.25828583],0,w/o recurrent,10
0,e5ET,53.42435034507861,[ 0.64295837 11.35184652  0.32913417],0,w/ recurrent,10
1,i5Pvalb,58.851039314614944,[0.44276082 9.35484802 0.48648577],0,w/ recurrent,10
2,i5Sst,55.84505368374576,[ 0.81622475 10.38904398  0.24468923],0,w/ recurrent,10
0,e5ET,60.44655668796173,[0.48454465 8.86751389 0.50844246],15,w/o recurrent,10
1,i5Pvalb,56.2953620914795,[ 0.39106297 10.22350412  0.60545608],15,w/o recurrent,10
2,i5Sst,57.3993461399779,[0.80114854 9.83402074 0.26531241],15,w/o recurrent,10
0,e5ET,56.87287903455365,[ 0.69186943 10.0169287   0.33916076],15,w/ recurrent,10
1,i5Pvalb,53.22387078112072,[ 0.47995068 11.4375261   0.57523799],15,w/ recurrent,10
2,i5Sst,57.77616725101217,[0.83745969 9.7061624  0.25100339],15,w/ recurrent,10
0,e5ET,61.390085944253336,[0.49554431 8.59703169 0.52551524],30,w/o recurrent,10
1,i5Pvalb,56.37569783044008,[ 0.40598869 10.19438776  0.62863046],30,w/o recurrent,10
2,i5Sst,55.945606076164154,[ 0.80289949 10.35173258  0.27006029],30,w/o recurrent,10
0,e5ET,57.21944380948557,[0.6519192  9.89595578 0.30972564],30,w/ recurrent,10
1,i5Pvalb,53.478325145931386,[ 0.50382251 11.32894362  0.55654805],30,w/ recurrent,10
2,i5Sst,55.24695285047243,[ 0.76221892 10.61520416  0.24429294],30,w/ recurrent,10
0,e5ET,63.18817903245185,[0.4882016  8.1147161  0.50369076],45,w/o recurrent,10
1,i5Pvalb,56.609296415778594,[ 0.39632573 10.11042695  0.61882642],45,w/o recurrent,10
2,i5Sst,57.296877522993995,[0.79641698 9.86922613 0.28026555],45,w/o recurrent,10
