,pop_name,peak_freq,FWHM,recurrent,target_angle
0,e5ET,16.0,19.550079226899093,w/o recurrent,0
1,i5Pvalb,20.0,36.58069023305222,w/o recurrent,0
2,i5Sst,18.0,33.11747221449416,w/o recurrent,0
0,e5ET,8.0,4.143256809237238,w/ recurrent,0
1,i5Pvalb,50.0,12.908916376660592,w/ recurrent,0
2,i5Sst,8.0,18.75790620371943,w/ recurrent,0
0,e5ET,16.0,19.332300828006467,w/o recurrent,15
1,i5Pvalb,28.0,36.12598301205131,w/o recurrent,15
2,i5Sst,16.0,34.879323239411264,w/o recurrent,15
0,e5ET,8.0,4.085550598991264,w/ recurrent,15
1,i5Pvalb,82.0,65.46197860624439,w/ recurrent,15
2,i5Sst,8.0,18.386902210715416,w/ recurrent,15
0,e5ET,16.0,17.80141222059401,w/o recurrent,30
1,i5Pvalb,24.0,36.25956586452915,w/o recurrent,30
2,i5Sst,16.0,26.53777632684105,w/o recurrent,30
0,e5ET,8.0,4.209852461224284,w/ recurrent,30
1,i5Pvalb,50.0,11.74647101390785,w/ recurrent,30
2,i5Sst,8.0,5.278973553188831,w/ recurrent,30
0,e5ET,18.0,19.120334043265615,w/o recurrent,45
1,i5Pvalb,28.0,37.301803797991994,w/o recurrent,45
2,i5Sst,18.0,27.634818845511266,w/o recurrent,45
0,e5ET,8.0,4.106983416108486,w/ recurrent,45
1,i5Pvalb,72.0,36.097681316006586,w/ recurrent,45
2,i5Sst,8.0,20.421273658729326,w/ recurrent,45
0,e5ET,16.0,17.27778571235507,w/o recurrent,60
1,i5Pvalb,38.0,40.53039685870348,w/o recurrent,60
2,i5Sst,18.0,35.076183378900396,w/o recurrent,60
0,e5ET,8.0,4.212045491160403,w/ recurrent,60
1,i5Pvalb,50.0,59.3438932270461,w/ recurrent,60
2,i5Sst,8.0,21.033100736181044,w/ recurrent,60
0,e5ET,18.0,13.819393410572024,w/o recurrent,75
1,i5Pvalb,24.0,39.718205783636876,w/o recurrent,75
2,i5Sst,18.0,22.20985038637538,w/o recurrent,75
0,e5ET,8.0,4.33905379497693,w/ recurrent,75
1,i5Pvalb,50.0,25.252451411787945,w/ recurrent,75
2,i5Sst,8.0,13.020741903540511,w/ recurrent,75
0,e5ET,16.0,17.330519676731406,w/o recurrent,90
1,i5Pvalb,24.0,38.86528765637316,w/o recurrent,90
2,i5Sst,18.0,22.054895522112822,w/o recurrent,90
0,e5ET,8.0,4.258215981462186,w/ recurrent,90
1,i5Pvalb,50.0,53.191680993926155,w/ recurrent,90
2,i5Sst,8.0,12.681536595437787,w/ recurrent,90
0,e5ET,16.0,17.488427105374683,w/o recurrent,105
1,i5Pvalb,24.0,39.00927793621856,w/o recurrent,105
2,i5Sst,18.0,25.275930207724585,w/o recurrent,105
0,e5ET,8.0,4.322771967328042,w/ recurrent,105
1,i5Pvalb,50.0,23.732747178192007,w/ recurrent,105
2,i5Sst,8.0,21.350387364283336,w/ recurrent,105
0,e5ET,16.0,8.804380706207866,w/o recurrent,120
1,i5Pvalb,28.0,40.021357727153514,w/o recurrent,120
2,i5Sst,18.0,21.14982896772496,w/o recurrent,120
0,e5ET,8.0,4.017424766410004,w/ recurrent,120
1,i5Pvalb,50.0,37.522153961273006,w/ recurrent,120
2,i5Sst,8.0,14.724733749680066,w/ recurrent,120
0,e5ET,16.0,16.092519208370838,w/o recurrent,135
