,pop_name,s,params,target_angle,recurrent,binsize
0,e5ET,52.5236237670725,[ 0.50708867 11.74453014  0.50588953],135,w/ recurrent,10
1,i5Pvalb,59.75041432893431,[0.4594991  9.0753455  0.54450813],135,w/ recurrent,10
2,i5Sst,57.961016866112026,[0.81829394 9.64435122 0.24871182],135,w/ recurrent,10
0,e5ET,61.59541020896606,[0.61109621 8.53981193 0.43624685],150,w/o recurrent,10
1,i5Pvalb,58.46922323465036,[0.34838525 9.47742512 0.67606955],150,w/o recurrent,10
2,i5Sst,59.63760404089239,[0.70183999 9.10971176 0.31252137],150,w/o recurrent,10
0,e5ET,53.45962606560877,[ 0.5440383  11.33687027  0.53945337],150,w/ recurrent,10
1,i5Pvalb,64.80313828032132,[0.36632792 7.71530206 0.49550292],150,w/ recurrent,10
2,i5Sst,58.63992964720669,[0.78541561 9.42232606 0.23373783],150,w/ recurrent,10
0,e5ET,61.55618965144839,[0.57504357 8.55069769 0.40702653],165,w/o recurrent,10
1,i5Pvalb,56.82934038106068,[ 0.31945201 10.03228312  0.62355913],165,w/o recurrent,10
2,i5Sst,55.97007542480251,[ 0.71161755 10.34268329  0.32567997],165,w/o recurrent,10
0,e5ET,52.557540896647936,[ 0.4836297  11.72937676  0.5012626 ],165,w/ recurrent,10
1,i5Pvalb,58.794737706622676,[0.36697424 9.37277293 0.47283517],165,w/ recurrent,10
2,i5Sst,55.826375007528,[ 0.76616163 10.39599718  0.23805401],165,w/ recurrent,10
0,e5ET,62.278964346412195,[0.57669059 8.35338016 0.4086506 ],180,w/o recurrent,10
1,i5Pvalb,60.13666732723476,[0.34695406 8.95913946 0.66944629],180,w/o recurrent,10
2,i5Sst,54.702355612453886,[0.67261545 9.65796853 0.31275529],180,w/o recurrent,10
0,e5ET,54.67745255871292,[ 0.50238031 10.8374839   0.50702098],180,w/ recurrent,10
1,i5Pvalb,61.69651591365867,[0.53406554 8.51184548 0.78527357],180,w/ recurrent,10
2,i5Sst,55.36139620226032,[0.7968629  9.42939381 0.24884154],180,w/ recurrent,10
0,e5ET,62.966087159206474,[0.60257    8.17206096 0.42140261],195,w/o recurrent,10
1,i5Pvalb,60.82848074569491,[0.34976442 8.75651046 0.67135034],195,w/o recurrent,10
2,i5Sst,57.15698733991756,[0.74953648 9.91759458 0.33008824],195,w/o recurrent,10
0,e5ET,58.53282787380558,[0.49841062 9.45683904 0.50379922],195,w/ recurrent,10
1,i5Pvalb,55.68635793200398,[ 0.43353187 10.44834203  0.63754477],195,w/ recurrent,10
2,i5Sst,56.01338179260777,[ 0.82386662 10.32669672  0.24638156],195,w/ recurrent,10
0,e5ET,63.69757098163331,[0.58001581 7.98544766 0.40489211],210,w/o recurrent,10
1,i5Pvalb,61.110665128532546,[0.34166275 8.67582911 0.67730283],210,w/o recurrent,10
