,pop_name,s,params,target_angle,recurrent,binsize
0,e5ET,61.272913162034776,[0.62090796 8.6299435  0.41704491],0,w/o recurrent,10
1,i5Pvalb,57.64690351948251,[0.34823829 9.74974016 0.67161385],0,w/o recurrent,10
2,i5Sst,54.63142701687111,[ 0.68835208 10.85575218  0.33075241],0,w/o recurrent,10
0,e5ET,51.3538943694332,[ 0.41359663 12.28565296  0.58774954],0,w/ recurrent,10
1,i5Pvalb,53.74833685871228,[ 0.43115126 11.2154047   0.60477825],0,w/ recurrent,10
2,i5Sst,52.07375939584531,[ 0.73492488 11.94832827  0.2406546 ],0,w/ recurrent,10
0,e5ET,61.74059864939759,[0.59358754 8.49969492 0.3965264 ],15,w/o recurrent,10
1,i5Pvalb,56.10856736476321,[ 0.33690089 10.29168892  0.65587201],15,w/o recurrent,10
2,i5Sst,56.82056725959288,[ 0.74200005 10.03538134  0.34843085],15,w/o recurrent,10
0,e5ET,55.997206786803424,[ 0.41707195 10.33266339  0.59036485],15,w/ recurrent,10
1,i5Pvalb,48.01278311426684,[ 0.40105149 14.05501289  0.58586593],15,w/ recurrent,10
2,i5Sst,54.44635597243864,[ 0.87460216 10.92967816  0.27611001],15,w/ recurrent,10
0,e5ET,62.39052531649365,[0.61301017 8.32353338 0.41373581],30,w/o recurrent,10
1,i5Pvalb,57.408872192209216,[0.35549456 9.83075742 0.67115942],30,w/o recurrent,10
2,i5Sst,55.57408570563113,[ 0.69461923 10.49060071  0.3293235 ],30,w/o recurrent,10
0,e5ET,59.00938232651292,[0.44474469 9.30471066 0.59863223],30,w/ recurrent,10
1,i5Pvalb,50.85959618361147,[ 0.4163145  12.52561893  0.51345264],30,w/ recurrent,10
2,i5Sst,54.87420084935252,[ 0.79933911 10.75990887  0.25124228],30,w/ recurrent,10
0,e5ET,63.63609611080511,[0.59875712 8.0008836  0.39297299],45,w/o recurrent,10
1,i5Pvalb,56.515539616623485,[ 0.34416122 10.14400029  0.664505  ],45,w/o recurrent,10
2,i5Sst,57.138621255984006,[0.73047098 9.92397123 0.35611385],45,w/o recurrent,10
0,e5ET,61.39081734321777,[0.42632372 8.59682684 0.56182929],45,w/ recurrent,10
1,i5Pvalb,48.096507889087945,[ 0.38348034 14.00612249  0.54993787],45,w/ recurrent,10
2,i5Sst,55.72030272785663,[ 0.81109897 10.43561566  0.25779674],45,w/ recurrent,10
0,e5ET,64.96599872010896,[0.62466033 7.67666823 0.40042043],60,w/o recurrent,10
1,i5Pvalb,58.684467968966686,[0.33926149 9.40802942 0.64020828],60,w/o recurrent,10
2,i5Sst,55.60526598065838,[ 0.62748399 10.47883894  0.31289881],60,w/o recurrent,10
0,e5ET,61.08024015445547,[0.45038758 8.68447438 0.57460479],60,w/ recurrent,10
1,i5Pvalb,47.78606324072754,[ 0.49368018 14.18869663  0.64643636],60,w/ recurrent,10
2,i5Sst,55.28010753780383,[ 0.7234152  10.60247487  0.23081486],60,w/ recurrent,10
0,e5ET,64.26012028720893,[0.62452725 7.84624639 0.40443893],75,w/o recurrent,10
1,i5Pvalb,61.90250921612432,[0.3489697  8.45528991 0.65211357],75,w/o recurrent,10
2,i5Sst,56.60044186120906,[ 0.68759313 10.11359055  0.37074354],75,w/o recurrent,10
0,e5ET,60.66373367490805,[0.44975709 8.8041359  0.56687052],75,w/ recurrent,10
1,i5Pvalb,56.72583172165863,[ 0.38898064 10.0689287   0.51030393],75,w/ recurrent,10
2,i5Sst,53.94251910288395,[ 0.77106961 11.13480362  0.2713608 ],75,w/ recurrent,10
0,e5ET,62.82854238648105,[0.58071156 8.20788082 0.38444415],90,w/o recurrent,10
1,i5Pvalb,62.39700828954662,[0.34437706 8.32180386 0.64863545],90,w/o recurrent,10
2,i5Sst,59.29703072640777,[0.74618685 9.21465578 0.38218076],90,w/o recurrent,10
0,e5ET,58.5435825589071,[0.41710278 9.45336484 0.51635734],90,w/ recurrent,10
1,i5Pvalb,55.03023917723952,[ 0.40853796 10.6989759   0.5303964 ],90,w/ recurrent,10
2,i5Sst,56.79645283461187,[ 0.83310637 10.04390471  0.28760321],90,w/ recurrent,10
0,e5ET,62.41587542278948,[0.60157266 8.31677357 0.39839317],105,w/o recurrent,10
1,i5Pvalb,64.04109044801211,[0.36129077 7.90000878 0.66379902],105,w/o recurrent,10
2,i5Sst,62.26544991314965,[0.63421227 8.35700668 0.33134288],105,w/o recurrent,10
0,e5ET,55.81877740528585,[ 0.46231571 10.39882741  0.56958275],105,w/ recurrent,10
1,i5Pvalb,57.0933302135296,[0.4647179  9.93972247 0.64608865],105,w/ recurrent,10
2,i5Sst,58.05165324851848,[0.69669194 9.61425917 0.2423595 ],105,w/ recurrent,10
0,e5ET,61.86666790075222,[0.6058494  8.46508958 0.40102536],120,w/o recurrent,10
1,i5Pvalb,62.957436790635725,[0.36927735 8.1743068  0.69429776],120,w/o recurrent,10
2,i5Sst,63.664847900598055,[0.732363   7.99365864 0.37497126],120,w/o recurrent,10
0,e5ET,54.48687767483482,[ 0.46812025 10.91342748  0.58225756],120,w/ recurrent,10
1,i5Pvalb,60.90882826701564,[0.44249178 8.7334235  0.58630938],120,w/ recurrent,10
2,i5Sst,60.552725504476165,[0.87587256 8.83644582 0.28584043],120,w/ recurrent,10
0,e5ET,61.47107148239242,[0.62529383 8.57439416 0.41178923],135,w/o recurrent,10
1,i5Pvalb,60.82495850760952,[0.32344973 8.75752463 0.60936961],135,w/o recurrent,10
2,i5Sst,61.20353961240996,[0.69085057 8.64951848 0.3777877 ],135,w/o recurrent,10
