,pop_name,peak_freq,FWHM,recurrent,target_angle
0,e5ET,16.0,20.23764137160659,w/o recurrent,0
1,i5Pvalb,20.0,36.58069023305222,w/o recurrent,0
2,i5Sst,18.0,41.48505584464139,w/o recurrent,0
0,e5ET,8.0,2.7583212187198143,w/ recurrent,0
1,i5Pvalb,72.0,18.262199561219035,w/ recurrent,0
2,i5Sst,16.0,61.81004721820645,w/ recurrent,0
0,e5ET,18.0,18.41624014440098,w/o recurrent,15
1,i5Pvalb,28.0,36.12598301205131,w/o recurrent,15
2,i5Sst,8.0,37.05511765805718,w/o recurrent,15
0,e5ET,8.0,2.7508172356620486,w/ recurrent,15
1,i5Pvalb,82.0,21.101093488384237,w/ recurrent,15
2,i5Sst,16.0,25.09069195743815,w/ recurrent,15
0,e5ET,16.0,17.975162205171433,w/o recurrent,30
1,i5Pvalb,24.0,36.25956586452915,w/o recurrent,30
2,i5Sst,18.0,35.915504971093455,w/o recurrent,30
0,e5ET,8.0,2.7664233100605964,w/ recurrent,30
1,i5Pvalb,82.0,19.523828692275885,w/ recurrent,30
2,i5Sst,24.0,29.717621380611327,w/ recurrent,30
0,e5ET,18.0,18.905152221482794,w/o recurrent,45
1,i5Pvalb,28.0,37.301803797991994,w/o recurrent,45
2,i5Sst,18.0,23.76923164990253,w/o recurrent,45
0,e5ET,8.0,2.74237009918163,w/ recurrent,45
1,i5Pvalb,82.0,17.38629021317432,w/ recurrent,45
2,i5Sst,16.0,25.20755166509043,w/ recurrent,45
0,e5ET,18.0,17.46607949579097,w/o recurrent,60
1,i5Pvalb,38.0,40.53039685870348,w/o recurrent,60
2,i5Sst,18.0,25.42010729610866,w/o recurrent,60
0,e5ET,8.0,2.753308037111557,w/ recurrent,60
1,i5Pvalb,50.0,7.299587225832248,w/ recurrent,60
2,i5Sst,24.0,53.689026979829165,w/ recurrent,60
0,e5ET,16.0,17.817680319245547,w/o recurrent,75
1,i5Pvalb,24.0,39.718205783636876,w/o recurrent,75
2,i5Sst,16.0,26.629114299976436,w/o recurrent,75
0,e5ET,8.0,2.7810235214823047,w/ recurrent,75
1,i5Pvalb,50.0,19.91537644523214,w/ recurrent,75
2,i5Sst,18.0,52.022684030588664,w/ recurrent,75
0,e5ET,16.0,17.541132193593363,w/o recurrent,90
1,i5Pvalb,24.0,38.86528765637316,w/o recurrent,90
2,i5Sst,18.0,23.623176195732935,w/o recurrent,90
0,e5ET,8.0,2.7905194157219757,w/ recurrent,90
1,i5Pvalb,50.0,37.574377822914514,w/ recurrent,90
2,i5Sst,42.0,59.06588219870444,w/ recurrent,90
0,e5ET,16.0,14.19738522079495,w/o recurrent,105
1,i5Pvalb,24.0,39.00927793621856,w/o recurrent,105
2,i5Sst,18.0,22.872354522651,w/o recurrent,105
